"LANDSCAPE ARCHITECTURE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","","",""
"History of Landscape Arch","260","001","","83","2.700","7.2","13.3","24.1","22.9","26.5","2.4",".","1.2",".",".",".",".","1.2",".","1.2","."
"Landscape Plants II","264","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Graphics for Designers","312","001","","35","3.014","5.7","34.3","45.7","8.6",".",".","5.7",".",".",".",".",".",".",".",".","."
"Housing and Urban Design","351","001","","23","3.587","52.2","21.7","17.4","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"Landscape Arch Technology I","353","001","","19","3.079","10.5","36.8","31.6","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"Wetlands Ecology","361","001","","12","2.958","8.3","25.0","50.0",".","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"Special Topics","375","001","","17","3.265","29.4","11.8","41.2","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","399","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Open Space Planning&Design","451","001","","23","3.239","13.0","39.1","34.8","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"Evolution-American Planning","463","001","","10","3.444","40.0","20.0","10.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"Senior Project in Land Arc","551","001","","25","2.940","16.0","20.0","28.0","16.0","16.0","4.0",".",".",".",".",".",".",".",".",".","."
"Computerzd Land Info Systms","655","001","","29","3.143","17.2","10.3","51.7","17.2",".",".",".","3.4",".",".",".",".",".",".",".","."
"Cult Rsrce Presrv&Lndsc Hst","677","001","","22","3.318","22.7","31.8","31.8","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"Applictn of GIS:Natrl Rsrcs","695","001","","12","3.333","16.7","41.7","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Special Problems-Land Arch","699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Nat Plnt Comm Restoratn&Mgt","866","001","","15","3.808","53.3","33.3",".",".",".",".",".","6.7",".",".",".",".",".",".","6.7","."
"Regional Design Workshop","920","001","","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","7","4.000","14.3",".",".",".",".",".",".","42.9",".",".",".","42.9",".",".",".","."
"","990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","16","4.000","31.3",".",".",".",".",".",".","43.8",".",".",".","25.0",".",".",".","."
"","999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","","Course Total","","3","***","","","","","","","","","","","","","","","",""
