"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","",""
"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Life Drawing I","Course Total","","44","3.557","40.9","31.8","25.0","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Watercolor I","001
242","","19","3.898","78.9","10.5","5.3",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","244
001","","16","3.200","25.0","31.3","25.0","6.3",".",".","6.3","6.3",".",".",".",".",".",".",".","."
"","244
002","","15","3.462","20.0","40.0","26.7",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"","244
003","","12","3.450","25.0","25.0","33.3",".",".",".",".",".",".",".",".",".",".","16.7",".","."
"Art Metal I","Course Total","","43","3.355","23.3","32.6","27.9","2.3",".",".","2.3","7.0",".",".",".",".",".","4.7",".","."
"","246
001","","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","246
002","","18","3.389","44.4","33.3","5.6","11.1",".",".","5.6",".",".",".",".",".",".",".",".","."
"Lettering","Course Total","","33","3.485","42.4","36.4","12.1","6.1",".",".","3.0",".",".",".",".",".",".",".",".","."
"","302
001","","17","3.618","47.1","29.4","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
002","","20","3.425","45.0","30.0","15.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"Color","Course Total","","37","3.514","45.9","29.7","18.9","2.7",".",".","2.7",".",".",".",".",".",".",".",".","."
"","312
001","","12","3.716","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
002","","17","3.029","11.8","23.5","23.5","41.2",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Drawing I","Course Total","","29","3.318","27.6","31.0","17.2","24.1",".",".",".",".",".",".",".",".",".",".",".","."
"","314
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","314
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","314
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sculpture II","Course Total","","12","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lithography","316
001","","14","3.679","71.4","7.1","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","15","3.333","20.0","40.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Painting I","Course Total","","24","3.583","50.0","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics II","001
324","","17","3.706","88.2",".","5.9",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"Etching","326
001","","11","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer in the Visual Arts","328
001","","15","3.833","80.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
001","","8","3.688","62.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","332
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
332","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Life Drawing II","Course Total","","20","3.850","80.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","334
001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
334","","9","3.444","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wood Working","Course Total","","17","3.559","35.3","41.2","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Serigraphy","336
001","","14","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Watercolor II","342
001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art Metal II","344
001","","10","3.333","50.0","20.0","10.0",".",".",".","10.0",".",".",".",".",".",".","10.0",".","."
"","346
001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346
002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Typogphy&Graphic Dsgn","Course Total","","27","3.963","92.6","7.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Glassworking","001
354","","14","3.333","14.3","50.0","14.3","14.3",".",".",".","7.1",".",".",".",".",".",".",".","."
"","356
001","","12","3.500","75.0",".","16.7",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","356
002","","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print Production Techniques","Course Total","","24","3.625","70.8","8.3","16.7",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 72 of 374"
