"LINGUISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","","",""
"101
Human Language","001","","224","2.833","26.8","14.3","25.0","7.6","11.2","9.8","5.4",".",".",".",".",".",".",".",".","."
"236
Bascom Course","001","","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"301
Intro Ling-Descript&Theoret","001","","32","3.484","40.6","37.5","9.4","3.1","9.4",".",".",".",".",".",".",".",".",".",".","."
"302
Intro to Linguis:Historical","001","","14","3.731","57.1","21.4","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"322
Morphology","001","","13","3.654","69.2","15.4",".","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"330
Syntax","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"340
Semantics","001","","13","3.227","46.2","15.4",".","7.7","7.7",".","7.7","15.4",".",".",".",".",".",".",".","."
"373","001","","11","3.885","63.6","18.2",".",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"373","002","","9","3.577","66.7",".","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Topics in Linguistics","Course Total","","20","3.731","65.0","10.0","10.0",".","5.0",".",".","10.0",".",".",".",".",".",".",".","."
"427
Adv Linguis Anal II:Grammar","001","","12","3.500","58.3","8.3","8.3","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"430
Language and Culture","001","","6","3.700","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"482","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"482","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Honors Tutorial","Course Total","","2","***","","","","","","","","","","","","","","","",""
"510
Phonological Theories","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"522
Problems in Morphology","001","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5"
"530
Syntactic Theories","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"561
Intro-Experimntl Phonetics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"584
Senior Honors Tutorial","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"774
Prob-Computatnl Linguistics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"978
Seminar","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","7","",".",".",".",".",".",".",".","57.1",".",".",".","42.9",".",".",".","."
"Thesis","Course Total","","18","4.000","5.6",".",".",".",".",".",".","55.6",".",".",".","38.9",".",".",".","."
"999","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","8","4.000","75.0",".",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
