"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"PHM","","","","","","","","","","","","","","","","","","","","",""
"PHM","College Total","2943","3.502","48.4","19.0","21.7","5.4","2.5","0.3","0.1","2.5","",".",".",".","",".","0.0",".","0.0","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"PHM","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"Freshmen","","13","3.538","61.5",".","23.1","15.4",".",".",".",".","",".",".",".","",".",".",".",".","."
"Sophomore","","43","3.644","58.1","23.3","11.6","2.3","4.7",".",".",".","",".",".",".","",".",".",".",".","."
"Junior","","68","3.736","69.1","14.7","11.8","2.9",".","1.5",".",".","",".",".",".","",".",".",".",".","."
"Senior","","115","3.598","58.3","13.9","18.3","3.5","3.5","0.9",".","1.7","",".",".",".","",".",".",".",".","."
"Undergraduates","","239","3.644","61.5","15.1","15.5","3.8","2.5","0.8",".","0.8","",".",".",".","",".",".",".",".","."
"Special","","3","4.000","100.0",".",".",".",".",".",".",".","",".",".",".","",".",".",".",".","."
"Graduate","","186","3.823","52.2","7.0","4.3",".",".",".",".","36.6","",".",".",".","",".",".",".",".","."
"Prof Yr 1","","505","3.209","46.9","12.1","27.1","7.5","5.7","0.6",".",".","",".",".",".","",".",".",".",".","."
"Prof Yr 2","","932","3.391","36.9","25.4","29.6","6.1","1.5","0.1","0.2",".","",".",".",".","",".","0.1",".",".","."
"Prof Yr 3","","832","3.404","48.2","21.9","20.0","6.3","2.9","0.1","0.2","0.4","",".",".",".","",".",".",".","0.1","."
"Prof Yr 4","","246","3.857","78.9","12.6","6.1","1.6",".","0.4",".","0.4","",".",".",".","",".",".",".",".","."
"Professionals","","2515","3.483","46.8","20.3","23.6","6.0","2.7","0.2","0.2","0.2","",".",".",".","",".","0.0",".","0.0","."
"","College Total","2943","3.502","48.4","19.0","21.7","5.4","2.5","0.3","0.1","2.5","",".",".",".","",".","0.0",".","0.0","."
