"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","081","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","67","3.983","97.0","1.5",".","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"766
Molecular Recognition","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"775
Electronic Struct of Molecules","001","","19","3.778","63.2","21.1","10.5",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"801
Topics-Inorganic Chem","001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"841
Advanced Organic Chemistry","001","","38","3.461","21.1","50.0","28.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"842
Advanced Organic Chemistry","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"864
Statistical Mechanics","001","","23","3.522","47.8","17.4","26.1","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"872","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"872","002","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic-Macromoleculr/Biophys","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"901","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Teaching of Chemistry","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"915","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Struct&Bond-Inorg Compounds","Course Total","","3","***","","","","","","","","","","","","","","","",""
"923","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"923","157","","10","4.000","60.0",".",".",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"Spctroscpy&Spectrochem Anal","Course Total","","15","4.000","73.3",".",".",".",".",".",".","26.7",".",".",".",".",".",".",".","."
"943
Smr-Bio-Organic Chemistry","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"960
Seminar-Physical Chemistry","002","","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"964","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"964","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"964","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"964","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"964","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"964","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"964","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar: Molecular Dynamics","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 176 of 413",""
