"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"157
001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"004
157","13","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"157
005","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
006","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"157
008","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
009","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
010","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
011","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
012","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
013","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"157
014","5","***","","","","","","","","","",".",".",".",".",".",".","."
"157
015","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Bradley Roundtable Seminar","142","",".",".",".",".",".",".",".",".",".","99.3","0.7",".",".",".",".","."
"199
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"199
060","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"199
061","15","3.703","73.3","13.3","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"199
062","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Directed Study","46","3.858","91.3","4.3","2.2",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"200
001
Critical Thinkng & Expressn","77","3.779","75.3","13.0","5.2","5.2","1.3",".",".",".",".",".",".",".",".",".",".","."
"201
001
W Culture:Sci,Tech,Philos I","78","3.340","23.1","38.5","30.8","3.8","2.6",".","1.3",".",".",".",".",".",".",".",".","."
"202
001
W Culture:Sci,Tech,Phil II","74","3.101","14.9","23.0","39.2","16.2","5.4","1.4",".",".",".",".",".",".",".",".",".","."
"204
001
West Cult: Lit&The Arts II","93","3.625","53.8","28.0","10.8","5.4",".",".","1.1",".",".",".",".",".","1.1",".",".","."
"206
001
W Cul:Pol,Econ&Soc Thght II","94","3.342","30.9","27.7","23.4","13.8",".","2.1",".","2.1",".",".",".",".",".",".",".","."
"234
001
Genres-Westrn Relig Writing","15","3.200","33.3","26.7","20.0","13.3",".",".","6.7",".",".",".",".",".",".",".",".","."
"299
016
Directed Study","2","***","","","","","","","","","",".",".",".",".",".",".","."
"357
001
Peer Mentor Seminar","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"371
001","23","3.783","69.6","17.4","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"371
002","13","3.458","38.5","23.1","15.4","15.4",".",".",".",".",".",".",".",".",".",".","7.7","."
"Course Total
Interdis in Arts & Humanities","36","3.671","58.3","19.4","13.9","5.6",".",".",".",".",".",".",".",".",".",".","2.8","."
"372
001
Interdis Studies-Soc Sciences","18","3.941","83.3","11.1",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"400
001
Capstone Integration Seminar","28","3.946","92.9","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"401
001
Global Culture Capstone Smr","37","4.000","94.6",".",".",".",".",".",".","2.7",".",".",".",".","2.7",".",".","."
"490
008
Rsch-Integrated LiberalStudies","2","***","","","","","","","","","",".",".",".",".",".",".","."
