"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Constitutional Law I","Course Total","289","1.196","8.0",".","25.3",".","5.2",".",".","1.4",".",".",".",".",".",".",".","."
"Trusts and Estates","733
001","134","1.578","13.4",".","17.9",".","6.0","0.7","1.5","23.1",".",".",".",".",".",".","0.7","."
"Payments Systems","735
001","25","2.160","36.0",".","24.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Secured Transactions","736
001","32","0.750","3.1",".","15.6",".","3.1",".",".","12.5",".",".",".",".",".",".",".","."
"","740
001","31","1.067","12.9",".","12.9",".","6.5",".",".","3.2",".",".",".",".",".",".",".","."
"","740
002","34","1.600","17.6",".","23.5",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"Constitutional Law II","Course Total","65","1.333","15.4",".","18.5",".","3.1",".",".","7.7",".",".",".",".",".",".",".","."
"Bus Orgnztions II:Publ Corp","741
001","80","1.329","11.3",".","26.3",".","1.3",".",".","5.0",".",".",".",".",".",".",".","."
"","743
001","14","1.714","21.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743
002","18","1.833","16.7",".","38.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743
003","11","1.273","18.2",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","Course Total","43","1.622","18.6",".","30.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Administrative Law","744
001","142","1.064","7.0","0.7","20.4",".","3.5",".",".","7.0",".",".",".",".",".",".",".","."
"Labor Relations Law","745
001","8","1.000","12.5",".","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Trademarks","749
001","33","0.939","6.1",".","15.2",".","12.1",".",".",".",".",".",".",".",".",".",".","."
"Patent Law","751
001","19","1.368","26.3",".","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Equal Employment Law","765
001","19","1.109","15.8",".","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Health Advocacy","768
001","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Consumer Issues in Health Care","769
001","16","1.766","31.3","6.3","6.3",".",".",".",".",".",".",".",".",".","6.3",".","6.3","."
"Select Topics-Estate Planning","771
001","13","1.364","23.1",".","7.7",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"Use of Trusts-Estate Planning","772
001","11","0.636","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law and the Elderly","773
001","11","1.182","9.1",".","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
001","50","1.541","16.0",".","14.0",".","4.0",".",".","26.0",".",".",".",".",".",".",".","."
"","801
002","23","0.667","13.0",".",".",".",".",".",".","21.7",".",".",".",".",".",".",".","."
"Evidence","Course Total","73","1.255","15.1",".","9.6",".","2.7",".",".","24.7",".",".",".",".",".",".",".","."
"","802
001","65","1.359","15.4",".","21.5",".","1.5","4.6",".","1.5",".",".",".",".",".",".",".","."
"","802
002","98","1.147","8.2",".","21.4",".","7.1",".",".","3.1",".",".",".",".",".",".",".","."
"Civil Procedure II","Course Total","163","1.233","11.0",".","21.5",".","4.9","1.8",".","2.5",".",".",".",".",".",".",".","."
"","808
001","13","1.385","23.1",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
002","11","1.273","18.2",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","808
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","808
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Legal Writing","Course Total","32","1.407","18.8",".","21.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appellate Advocacy I","814
001","13","1.364","23.1",".","7.7",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"","815
001","30","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
002","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
003","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
004","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","815
006","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Appellate Advocacy II","Course Total","84","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Business Organizations I","817
001","43","0.927","2.3",".","23.3",".","4.7",".",".","4.7",".",".",".",".",".",".",".","."
"Bankruptcy Law","821
001","40","0.500","2.5",".","5.0",".","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","Page 330 of 413",""
