"Current Topics-Sci & Tech St","902
001","","6","",".",".",".",".","",".",".",".","",".",".","","100.0",".","",".","",".",".",".","."
"","903
001","","6","3.583","50.0","16.7","33.3",".","",".",".",".","",".",".","",".",".","",".","",".",".",".","."
"","903
002","","5","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Topics-Sci&Technology Studies","Course Total","","11","3.650","45.5","27.3","18.2","",".",".",".","",".",".","",".",".","",".","",".","9.1",".",".","."
"STS
875","Dept. Total","","31","3.457","32.3","22.6","12.9","",".","3.2","3.2","",".","3.2","",".","19.4","",".","",".","3.2",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"875
STS","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","2","3.750","50.0","50.0",".","",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","","2","3.000","50.0",".",".","",".","50.0",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","","9","3.188","22.2","33.3","22.2","",".",".","11.1","",".","11.1","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","13","3.250","30.8","30.8","15.4","",".","7.7","7.7","",".","7.7","",".",".","",".","",".",".",".",".","."
"Graduate","","","17","3.650","29.4","17.6","11.8","",".",".",".","",".",".","",".","35.3","",".","",".","5.9",".",".","."
"Prof Yr 3","","","1","4.000","100.0",".",".","",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","","1","4.000","100.0",".",".","",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","31","3.457","32.3","22.6","12.9","",".","3.2","3.2","",".","3.2","",".","19.4","",".","",".","3.2",".",".","."
