"INFORMATION SYSTEMS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","",""
"","365
001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tech:Computer-Based Bus Sys","371
001","","13","3.500","53.8","23.1",".","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"Computer-Based Data Mgt","422
001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anal&Dsgn:Comptr-Based Sys","424
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Computer-Based Data Mgt","722
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
