"","990
014","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
015","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
040","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research and Thesis","Course Total","5","***","","","","","","","","","","","","","","","","","","","",""
"E M A
346","Dept. Total","880","2.881","22.0","14.7","21.7","20.1","12.8","3.6","2.8","1.8","",".",".","",".","",".","",".",".","0.1","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","39","2.667","10.3","5.1","20.5","41.0","20.5","2.6",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","262","2.552","6.5","10.7","21.4","35.5","17.6","5.3","3.1",".","",".",".","",".","",".","",".",".",".","."
"Junior","","227","2.673","10.6","15.4","32.2","18.1","15.9","3.1","4.8",".","",".",".","",".","",".","",".",".",".","."
"Senior","","264","3.283","42.0","19.7","16.3","9.5","7.2","3.8","1.1","0.4","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","792","2.829","19.7","14.8","22.7","22.1","13.8","4.0","2.8","0.1","",".",".","",".","",".","",".",".",".","."
"Special","","11","2.645","18.2","18.2","18.2","18.2","18.2",".","9.1",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","77","3.559","46.8","13.0","11.7",".","2.6",".","2.6","19.5","",".",".","",".","",".","",".",".","1.3","2.6"
"","Dept. Total","880","2.881","22.0","14.7","21.7","20.1","12.8","3.6","2.8","1.8","",".",".","",".","",".","",".",".","0.1","0.2"
