"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","",""
"Rule of Law:Philos&Hist Models","459
001","16","3.393","18.8","37.5","25.0","6.3",".",".",".",".",".",".",".",".","12.5",".",".","."
"American West Since 1850","462
001","95","3.304","23.2","29.5","28.4","9.5","2.1",".","1.1","6.3",".",".",".",".",".",".",".","."
"Women in Turkish Society","472
001","14","3.500","14.3","64.3","14.3",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"American Indian History","490
001","22","3.428","22.7","59.1","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Irish and Scottish Migrations","503
001","26","3.521","42.3","23.1","19.2","3.8","3.8",".",".","7.7",".",".",".",".",".",".",".","."
"Eur Cultural Hist 1610-1815","512
001","40","3.347","20.0","30.0","32.5","7.5",".",".",".","7.5",".",".",".",".",".","2.5",".","."
"Hist-Eur Jewry, 1648-1939","529
001","18","3.885","55.6","16.7",".",".",".",".",".","22.2",".",".",".",".","5.6",".",".","."
"Hist of Mass Communication","560
001","26","2.827","19.2","7.7","34.6","11.5","23.1",".","3.8",".",".",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562
001","7","2.917","28.6","14.3","28.6",".",".",".","14.3","14.3",".",".",".",".",".",".",".","."
"","600
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
002","17","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
003","13","3.692","61.5","30.8",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","600
004","16","3.719","62.5","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","600
005","15","3.429","33.3","40.0","13.3",".",".","6.7",".",".",".",".",".",".","6.7",".",".","."
"","600
006","15","3.600","46.7","26.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
007","17","3.618","52.9","17.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
009","13","3.750","69.2","15.4",".",".","7.7",".",".",".",".",".",".",".",".","7.7",".","."
"","600
010","11","2.773","9.1","45.5","18.2",".","9.1","9.1","9.1",".",".",".",".",".",".",".",".","."
"","600
011","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
012","9","3.556","55.6","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","600
013","15","3.607","33.3","46.7","13.3",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","600
014","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
015","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
016","16","3.500","50.0","12.5","31.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Advanced Seminar in History","Course Total","209","3.638","55.5","26.3","12.4","1.0","1.9","1.0","0.5",".",".",".",".",".","1.0","0.5",".","."
"Hist of Fed Role in Amer Educ","665
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Thesis Colloquium","680
001","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","681
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
046","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
066","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","682
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
041","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
046","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thesis Colloquium","690
001","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Senior Thesis","691
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","Page 224 of 413",""
