"POLITICAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"821
Mass Political Behavior","001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"833
Ancient Political Thought","001","","8","3.857","62.5","25.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"835
Game Theory&Political Analysis","001","","20","3.750","65.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"856
Field Smr-Comparative Politics","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"857
Intl Relations Theories","001","","8","3.571","37.5","25.0","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"866
Global Environmentl Governance","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"878
Public Management","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"900","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900","003","","15","4.000","60.0",".",".",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"900","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Political Science","Course Total","","18","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"904","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"904","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-American Politics","Course Total","","10","3.813","60.0","10.0","10.0",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"919","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"919","002","","12","3.600","25.0","50.0","8.3",".",".",".",".","8.3",".",".",".",".","8.3",".",".","."
"919","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sem-Adv Methodology","Course Total","","18","3.700","38.9","38.9","5.6",".",".",".",".","5.6",".",".",".",".","11.1",".",".","."
"931","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"931","002","","7","3.000",".",".","14.3",".",".",".",".",".",".",".",".",".","85.7",".",".","."
"Seminar-Political Theory","Course Total","","14","3.688","35.7","7.1","14.3",".",".",".",".",".",".",".",".",".","42.9",".",".","."
"948","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"948","002","","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Topics in Comp Politics","Course Total","","13","3.577","46.2","23.1","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"960
Smr-International Relations","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"988
International Relations Wkshop","001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"989
American Politics Workshop","001","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 283 of 413",""
