"Hist-Eur Jewry, 1648-1939","529
001","3","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
002","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
006","3","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","","","","","","",""
"JEWISH
510","Dept. Total","140","3.690","59.3","19.3","12.9","0.7","2.9","",".","",".","4.3","",".",".","",".","",".","0.7",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"510
JEWISH","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","9","3.310","33.3","11.1","44.4",".","11.1","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","21","3.682","47.6","42.9","9.5",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","28","3.775","64.3","25.0","7.1",".",".","",".","",".","3.6","",".",".","",".","",".",".",".",".","."
"Senior","","79","3.700","63.3","11.4","12.7","1.3","3.8","",".","",".","6.3","",".",".","",".","",".","1.3",".",".","."
"Undergraduates","","137","3.686","59.1","19.0","13.1","0.7","2.9","",".","",".","4.4","",".",".","",".","",".","0.7",".",".","."
"Special","","2","3.750","50.0","50.0",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","140","3.690","59.3","19.3","12.9","0.7","2.9","",".","",".","4.3","",".",".","",".","",".","0.7",".",".","."
