"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001","12","3.542","50.0","41.7",".",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","002
160","19","3.605","63.2","26.3","5.3",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","160
003","18","3.583","55.6","27.8","11.1",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"Architectural Graphics","Course Total","49","3.582","57.1","30.6","6.1",".",".","4.1","2.0",".",".",".",".",".",".",".",".","."
"","170
001","20","3.450","35.0","30.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","170
002","23","3.261","30.4","34.8","13.0","17.4",".",".","4.3",".",".",".",".",".",".",".",".","."
"","170
003","24","3.542","45.8","29.2","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","170
004","19","3.579","63.2","21.1","10.5",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Civil Engineering Graphics","Course Total","86","3.453","43.0","29.1","15.1","10.5",".",".","2.3",".",".",".",".",".",".",".",".","."
"Intro Engineering Graphics","231
001","129","3.240","23.3","35.7","21.7","9.3","7.8","2.3",".",".",".",".",".",".",".",".",".","."
"","240
001","28","2.625","21.4","3.6","21.4","28.6","10.7","7.1","7.1",".",".",".",".",".",".",".",".","."
"","240
002","46","2.750","13.0","10.9","17.4","34.8","21.7","2.2",".",".",".",".",".",".",".",".",".","."
"","240
003","25","2.640","8.0","16.0","12.0","32.0","28.0","4.0",".",".",".",".",".",".",".",".",".","."
"","240
004","17","2.647","17.6","11.8","17.6","11.8","29.4","11.8",".",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","116","2.681","14.7","10.3","17.2","29.3","21.6","5.2","1.7",".",".",".",".",".",".",".",".","."
"Undergrad Mech Engr Project","291
050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
050","39","3.921","87.2","10.3","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
099","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","44","3.914","86.4","11.4","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","306
001","56","2.741","17.9","16.1","17.9","17.9","21.4","5.4","3.6",".",".",".",".",".",".",".",".","."
"","306
002","60","2.783","15.0","15.0","23.3","25.0","13.3","6.7","1.7",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","116","2.763","16.4","15.5","20.7","21.6","17.2","6.0","2.6",".",".",".",".",".",".",".",".","."
"","307
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
002","6","3.083","16.7","16.7","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","7","3.643","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","9","3.222","33.3","22.2","33.3",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"","307
006","6","3.333","33.3",".","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
007","7","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
010","14","3.071","21.4","21.4","35.7","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"","307
011","17","3.324","29.4","29.4","23.5","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","307
012","12","3.333","25.0","16.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
013","9","2.889","22.2","11.1","22.2","11.1","33.3",".",".",".",".",".",".",".",".",".",".","."
"","307
014","13","3.385","30.8","38.5","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","110","3.227","26.4","21.8","34.5","9.1","6.4","1.8",".",".",".",".",".",".",".",".",".","."
"","313
001","42","3.202","14.3","35.7","28.6","19.0","2.4",".",".",".",".",".",".",".",".",".",".","."
"","313
002","44","3.205","11.4","34.1","40.9","11.4","2.3",".",".",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","86","3.203","12.8","34.9","34.9","15.1","2.3",".",".",".",".",".",".",".",".",".",".","."
"","314
001","54","3.157","13.0","29.6","38.9","13.0","5.6",".",".",".",".",".",".",".",".",".",".","."
