"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","127","3.214","14.2","37.0","28.3","12.6","5.5",".",".","1.6",".",".",".",".",".","0.8",".","."
"","120","001","87","2.773","20.7","12.6","14.9","25.3","17.2","4.6","3.4","1.1",".",".",".",".",".",".",".","."
"","120","002","138","2.893","15.2","23.2","18.8","22.5","12.3","5.8","0.7","0.7","0.7",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","225","2.847","17.3","19.1","17.3","23.6","14.2","5.3","1.8","0.9","0.4",".",".",".",".",".",".","."
"Physical Systems of Envr","127","001","32","2.734","25.0","9.4","15.6","18.8","18.8","9.4","3.1",".",".",".",".",".",".",".",".","."
"Resources and People","139","001","39","3.569","41.0","28.2","17.9","5.1",".",".",".","7.7",".",".",".",".",".",".",".","."
"Map Reading&Interpretation","170","001","175","3.197","26.3","26.3","26.3","10.9","7.4","1.7","1.1",".",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","21","2.548","28.6","9.5","19.0","4.8","14.3","9.5","14.3",".",".",".",".",".",".",".",".","."
"Eastern Europe:Interdis Survey","254","001","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","13","3.269","23.1","30.8","30.8","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Geog of Social Organization","301","001","41","3.431","29.3","29.3","19.5","7.3","2.4",".",".","9.8",".",".",".",".",".","2.4",".","."
"Introduction to the City","305","001","45","3.464","33.3","42.2","8.9","4.4","2.2",".","2.2","6.7",".",".",".",".",".",".",".","."
"Climatology","321","001","15","3.433","40.0","20.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Landforms-Topics & Regions","326","001","21","3.075","23.8","14.3","23.8","19.0","14.3",".",".",".",".",".",".",".",".","4.8",".","."
"Vegetation:Stability&Change","338","001","21","3.405","38.1","19.0","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","339","001","41","3.218","22.0","22.0","34.1","9.8","7.3",".",".","4.9",".",".",".",".",".",".",".","."
"","339","002","38","3.132","13.2","36.8","26.3","10.5","13.2",".",".",".",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","79","3.175","17.7","29.1","30.4","10.1","10.1",".",".","2.5",".",".",".",".",".",".",".","."
"Geography of Wisconsin","342","001","58","2.887","17.2","10.3","34.5","10.3","13.8","1.7","3.4","6.9",".",".",".",".","1.7",".",".","."
"The American West","344","001","35","3.386","40.0","14.3","37.1","5.7",".","2.9",".",".",".",".",".",".",".",".",".","."
"Europe","349","001","192","3.487","40.6","23.4","26.0","3.1","3.6",".",".","3.1",".",".",".",".",".",".",".","."
"Quantitative Meth-Geog Anal","360","001","62","2.702","12.9","14.5","33.9","9.7","17.7","6.5","4.8",".",".",".",".",".",".",".",".","."
"Introduction to Cartography","370","001","38","2.553","13.2","15.8","21.1","5.3","28.9","13.2","2.6",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","42","2.975","23.8","11.9","31.0","7.1","16.7","2.4","2.4","2.4",".",".",".",".",".",".","2.4","."
"People, Wildlife & Landscapes","434","001","17","3.438","41.2","11.8","29.4","11.8",".",".",".",".",".",".",".",".",".","5.9",".","."
"Urban Spatial Patterns&Thry","505","001","14","3.346","42.9","7.1","35.7",".",".","7.1",".",".",".",".",".",".","7.1",".",".","."
"Hist Geog-European Urbanztn","506","001","30","3.900","83.3","13.3","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quaternary Vegetation Dynamics","523","001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Animated & Web-based Mapping","575","001","23","3.636","47.8","43.5",".",".",".","4.3",".","4.3",".",".",".",".",".",".",".","."
"GIS Applications","578","001","26","3.692","53.8","34.6","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","602","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","010","9","",".",".",".",".",".",".",".",".",".","44.4",".",".",".",".",".","."
"Internship","","Course Total","13","",".",".",".",".",".",".",".",".",".","61.5",".",".",".",".",".","."
"Special Topics in Geography","675","001","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Special Topics in Geography","676","001","23","3.326","30.4","21.7","34.8","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
