"LEGAL STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"535
LEGAL ST","","","","","","","","","","","","","","","","","","","",""
"Criminal Justice in America","131","002","116","3.170","23.3","25.9","29.3","11.2","6.0","2.6","0.9",".",".",".",".",".",".",".","0.9","."
"Law, Politics and Society","217","001","36","2.829","2.8","30.6","22.2","19.4","19.4","2.8",".","2.8",".",".",".",".",".",".",".","."
"Topics: Legal Studies&Soc Sci","400","010","31","3.242","19.4","32.3","32.3","9.7","6.5",".",".",".",".",".",".",".",".",".",".","."
"Law in Action","444","001","54","3.811","66.7","25.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","1.9"
"Topic:Legal Studies&Humanities","450","016","11","3.409","27.3","36.4","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Rule of Law:Philos&Hist Models","459","001","22","3.341","22.7","40.9","22.7","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"Special Topics - Legal Studies","600","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sociology of Law","641","001","37","3.250","35.1","21.6","21.6","10.8","2.7","2.7","2.7",".",".",".",".",".",".",".",".","2.7"
"","692","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","7","3.792","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
