"","990
060","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
099","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","36","",".",".",".",".",".",".",".","80.6",".",".",".","19.4",".",".",".","."
"GEOG
416","Dept. Total","1535","3.190","29.0","21.9","22.3","9.8","7.8","2.2","1.2","3.7","0.1","0.5",".","0.5","0.3","0.3","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","",""
"Freshmen","","97","2.759","13.4","17.5","27.8","18.6","13.4","4.1","4.1",".",".","1.0",".",".",".",".",".","."
"Sophomore","","284","3.077","19.7","27.1","22.5","15.8","10.6","2.5","0.7",".",".","0.7",".",".",".",".",".","0.4"
"Junior","","389","3.163","26.5","26.0","24.9","10.3","8.7","1.5","1.5",".",".",".",".",".",".","0.5",".","."
"Senior","","566","3.214","32.5","20.3","23.9","8.1","7.1","2.8","0.9","3.4","0.2","0.2",".","0.2","0.4","0.2",".","."
"Undergraduates","","1336","3.138","26.6","23.2","24.2","11.2","8.8","2.5","1.3","1.4","0.1","0.3",".","0.1","0.1","0.2",".","0.1"
"Special","","80","3.532","40.0","18.8","11.3","1.3","2.5","1.3","1.3","10.0",".","5.0",".",".",".","1.3","1.3","."
"Graduate","","119","3.754","47.9","9.2","9.2",".","0.8",".",".","25.2",".",".",".","5.9","1.7",".",".","."
"","Dept. Total","1535","3.190","29.0","21.9","22.3","9.8","7.8","2.2","1.2","3.7","0.1","0.5",".","0.5","0.3","0.3","0.1","0.1"
