"","990
032","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
036","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
037","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","33","",".",".",".",".",".",".",".","63.6","",".",".",".","36.4",".",".",".","."
"DY SCI
292","Dept. Total","328","3.446","50.9","11.6","15.5","4.3","5.5","0.6","0.9","6.7","",".",".",".","3.7","0.3",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","10","3.778","70.0","20.0","10.0",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Sophomore","","34","3.291","41.2","17.6","26.5","2.9","8.8",".","2.9",".","",".",".",".",".",".",".",".","."
"Junior","","95","3.111","34.7","14.7","22.1","13.7","12.6","1.1","1.1",".","",".",".",".",".",".",".",".","."
"Senior","","93","3.625","65.6","11.8","17.2",".","3.2","1.1","1.1",".","",".",".",".",".",".",".",".","."
"Undergraduates","","232","3.381","49.6","14.2","20.3","6.0","7.8","0.9","1.3",".","",".",".",".",".",".",".",".","."
"Special","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Graduate","","95","3.824","54.7","4.2","4.2",".",".",".",".","23.2","",".",".",".","12.6","1.1",".",".","."
"","Dept. Total","328","3.446","50.9","11.6","15.5","4.3","5.5","0.6","0.9","6.7","",".",".",".","3.7","0.3",".",".","."
