"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","","",""
"ESL:Prof&Acad Writng Skills","327","001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","002","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","003","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","005","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Acad Skills Workshops","","Course Total","","47","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intro to the Syntax of English","329","001","","22","3.614","59.1","13.6","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"English Phonology","330","001","","31","3.177","16.1","41.9","16.1","19.4","3.2","3.2",".",".",".",".",".",".",".",".",".","."
"Global Spread of English","332","001","","31","3.661","64.5","16.1","16.1",".",".","3.2",".",".",".",".",".",".",".",".",".","."
"Introduction to TESOL Methods","334","001","","22","3.795","68.2","22.7","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Techniques&Materials for TESOL","335","001","","8","3.375","50.0","25.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"English in Society","336","001","","31","3.806","71.0","22.6","3.2","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"","337","001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","002","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","003","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","004","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","005","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","006","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"TESOL Workshops","","Course Total","","75","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Topics-English Lang & Linguis","338","001","","29","3.569","31.0","51.7","17.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"A Theme-Medieval Eng Lit","362","001","","32","3.641","56.3","21.9","18.8",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"Chaucer's Canterbury Tales","367","001","","24","3.283","29.2","16.7","37.5","4.2","8.3",".",".","4.2",".",".",".",".",".",".",".","."
"Soph Honors: Rsch Meth-English","381","001","","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Outstandg Figures-16thc Lit","401","001","","32","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"A Theme in 16th C Eng Lit","402","001","","31","3.919","87.1","9.7","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418","001","","39","3.568","33.3","46.2","20.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418","002","","23","3.196","30.4","13.0","43.5","8.7",".",".","4.3",".",".",".",".",".",".",".",".","."
"Shakespeare","","Course Total","","62","3.430","32.3","33.9","29.0","3.2",".",".","1.6",".",".",".",".",".",".",".",".","."
"Milton","434","001","","23","3.413","26.1","43.5","17.4","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"Theme in 18th C Eng Lit","442","001","","32","3.903","78.1","18.8",".",".",".",".",".",".",".",".",".",".",".","3.1",".","."
"English Novel: 18th Cent","459","001","","32","3.210","12.5","28.1","43.8","12.5",".",".",".",".",".",".",".",".","3.1",".",".","."
"Romantic Poetry","463","001","","28","3.135","28.6","3.6","35.7","14.3","10.7",".",".","7.1",".",".",".",".",".",".",".","."
"Select Major Modern Amer Poets","509","009","","32","3.350","28.1","21.9","37.5",".","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"Recent Poetry in English","512","001","","28","3.357","35.7","32.1","14.3","10.7","3.6","3.6",".",".",".",".",".",".",".",".",".","."
"Indian Writers Abroad","524","001","","26","3.519","34.6","42.3","19.2",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Studies in Criticism","550","001","","30","3.500","36.7","36.7","13.3","3.3",".","3.3",".",".",".",".",".",".","3.3",".","3.3","."
"","553","001","","21","3.167","28.6","28.6","9.5","14.3","19.0",".",".",".",".",".",".",".",".",".",".","."
"","553","002","","21","3.300","28.6","28.6","23.8",".","14.3",".",".",".",".",".",".",".","4.8",".",".","."
"Modern Critical Theories","","Course Total","","42","3.232","28.6","28.6","16.7","7.1","16.7",".",".",".",".",".",".",".","2.4",".",".","."
"Studies in Narrative Lit","563","001","","38","4.000","92.1",".",".",".",".",".",".","2.6",".",".",".",".","5.3",".",".","."
"Fem Thry&Women Writng-English","574","001","","16","3.500","37.5","37.5","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Topic-Ethnic&Multicultr Lit","591","001","","30","3.300","40.0","13.3","33.3","6.7","3.3",".","3.3",".",".",".",".",".",".",".",".","."
"The American Short Story","610","001","","33","3.629","57.6","15.2","18.2","3.0","3.0",".",".","3.0",".",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","","Page 204 of 413",""
