"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","",".",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","100.0","."
"Junior","","3","3.714","66.7",".","33.3",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","4","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","8","3.889","75.0",".","12.5",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","12.5","."
"Graduate","","24","3.864","95.8",".","4.2",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","1","3.000",".",".","100.0",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","77","3.417","27.3","33.8","36.4","2.6","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","6","3.667","66.7","16.7","16.7",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","84","3.424","29.8","32.1","35.7","2.4","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
