"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","106","2.462","11.3","7.5","25.5","9.4","32.1","10.4","3.8",".",".",".",".",".",".",".",".","."
"","002
101","114","2.424","7.9","12.3","24.6","13.2","21.9","13.2","5.3","0.9",".",".",".",".",".",".",".","0.9"
"Animal Biology","Course Total","220","2.443","9.5","10.0","25.0","11.4","26.8","11.8","4.5","0.5",".",".",".",".",".",".",".","0.5"
"","102
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
004","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
008","11","3.227","9.1","36.4","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
009","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
013","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
016","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
017","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
018","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","84","3.613","45.2","35.7","15.5","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"General Botany","130
001","26","2.962","34.6","7.7","23.1","7.7","19.2","3.8","3.8",".",".",".",".",".",".",".",".","."
"Ways of Knowing Biology","150
001","47","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Introductory Biology","151
001","70","2.857","17.1","11.4","35.7","11.4","18.6","4.3","1.4",".",".",".",".",".",".",".",".","."
"","152
001","182","3.014","20.3","7.7","48.4","7.1","13.2","2.2","0.5",".",".",".",".",".",".",".",".","0.5"
"","152
002","141","2.802","12.8","10.6","39.0","9.9","20.6","5.0","0.7",".",".",".",".",".","0.7",".",".","0.7"
"","152
003","110","3.261","32.7","13.6","37.3","7.3","6.4","1.8",".",".",".",".",".",".","0.9",".",".","."
"Introductory Biology","Course Total","433","3.008","21.0","10.2","42.5","8.1","13.9","3.0","0.5",".",".",".",".",".","0.5",".",".","0.5"
"","261
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","261
002","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","261
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Entering Research Part 2","Course Total","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies","Course Total","3","***","","","","","","","","","","","","","","","",""
"","375
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
005","27","4.000","96.3",".",".",".",".",".",".",".",".",".",".",".",".","3.7",".","."
"Special Topics","Course Total","29","3.981","93.1",".","3.4",".",".",".",".",".",".",".",".",".",".","3.4",".","."
"","675
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
005","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
