"MEDICAL PHYSICS","Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","","","","",""
"Research","Course Total","82","",".",".",".",".","",".","",".","",".","59.8","",".",".",".","40.2",".",".",".","."
"MED PHYS
621","Dept. Total","288","3.721","42.4","18.1","8.3","1.0","",".","",".","",".","17.4","",".",".",".","11.5","0.3",".","0.7","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","3.500",".","100.0",".",".","",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Junior","","3","3.857","66.7","33.3",".",".","",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Senior","","13","3.281","38.5","7.7","38.5","15.4","",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Undergraduates","","17","3.393","41.2","17.6","29.4","11.8","",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Special","","2","3.500",".","50.0",".",".","",".","",".","",".","50.0","",".",".",".",".",".",".",".","."
"Graduate","","261","3.751","42.5","17.6","7.3","0.4","",".","",".","",".","18.4","",".",".",".","12.3","0.4",".","0.8","0.4"
"Prof Yr 3","","4","4.000","75.0",".",".",".","",".","",".","",".",".","",".",".",".","25.0",".",".",".","."
"Prof Yr 4","","4","3.714","25.0","50.0",".",".","",".","",".","",".","25.0","",".",".",".",".",".",".",".","."
"Professionals","","8","3.857","50.0","25.0",".",".","",".","",".","",".","12.5","",".",".",".","12.5",".",".",".","."
"","Dept. Total","288","3.721","42.4","18.1","8.3","1.0","",".","",".","",".","17.4","",".",".",".","11.5","0.3",".","0.7","0.3"
