"RELIGIOUS STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","","","",""
"Intro Topics in Relig St (H)","200","001","","52","2.706","5.8","17.3","28.8","13.5","28.8","3.8",".","1.9",".",".",".",".",".",".",".","."
"Genres-Westrn Relig Writing","234","001","","27","3.315","14.8","48.1","25.9","7.4","3.7",".",".",".",".",".",".",".",".",".",".","."
"Genres-Asian Religious Writing","235","001","","16","3.344","6.3","62.5","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Crusades: Christianity & Islam","309","001","","9","3.519","44.4",".","22.2","11.1",".",".",".","22.2",".",".",".",".",".",".",".","."
"The Medieval Church","312","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"E Christianity/Russn Orthodoxy","325","001","","15","3.214","26.7","20.0","26.7","6.7","13.3",".",".","6.7",".",".",".",".",".",".",".","."
"Classical Rabbinic Lit in Tran","328","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Prophets of the Bible","332","001","","72","3.507","45.8","22.2","18.1","4.2","2.8",".","1.4","5.6",".",".",".",".",".",".",".","."
"Shamanism","352","001","","77","3.853","72.7","23.4",".",".","1.3",".",".","2.6",".",".",".",".",".",".",".","."
"Lit: Pauline Christianity","361","001","","51","3.620","64.7","15.7","11.8",".","2.0","2.0","2.0","2.0",".",".",".",".",".",".",".","."
"Intro to Confucianism","363","001","","18","3.083","33.3","22.2","16.7","16.7",".","5.6","5.6",".",".",".",".",".",".",".",".","."
"Islam: Religion and Culture","370","001","","35","3.543","31.4","54.3","8.6","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"The Rhetoric of Religion","374","001","","20","3.325","20.0","45.0","30.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"Jewish Cultural History","377","001","","14","3.714","71.4","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Relig St-Soc Studies","401","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"History-telling in the Bible","417","001","","29","3.052","34.5","13.8","13.8","17.2","13.8","6.9",".",".",".",".",".",".",".",".",".","."
"Survey of Tibetan Buddhism","421","001","","29","3.672","65.5","10.3","20.7",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"Milton","434","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Islamic Hist:Orig-Ottoman Empr","439","001","","10","3.458","30.0","40.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Philosophy of Religion","501","001","","9","3.688","66.7",".","11.1","11.1",".",".",".","11.1",".",".",".",".",".",".",".","."
"Hist-Eur Jewry, 1648-1939","529","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Religion-Critical Perspective","600","001","","19","3.472","31.6","36.8","21.1",".","5.3",".",".",".",".",".",".",".","5.3",".",".","."
"Soc Structrs-Muslim Society","614","001","","9","3.313","22.2","33.3","11.1","22.2",".",".",".",".",".",".",".",".","11.1",".",".","."
"Studies in Religions of Asia","620","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Gods & Goddesses of South Asia","626","001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis","692","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Colloquium for Majors","695","001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","697","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research for Major","","Course Total","","13","3.500","46.2","23.1","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","","Page 293 of 413",""
