"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","25","3.213","52.0","12.0","20.0","4.0","4.0",".","8.0",".","",".",".","",".",".",".",".",".","."
"Junior","242","3.152","36.8","19.4","21.1","6.2","9.1","5.4","1.7",".","",".",".","",".",".",".","0.4",".","."
"Senior","691","3.245","45.9","13.3","20.8","5.9","7.7","3.3","1.7","0.3","",".",".","",".",".","1.0",".",".","."
"Undergraduates","959","3.219","43.8","14.8","20.9","5.9","7.9","3.8","1.9","0.2","",".",".","",".",".","0.7","0.1",".","."
"Special","29","3.277","37.9","13.8","20.7",".","20.7",".",".","3.4","",".",".","",".",".",".",".","3.4","."
"Graduate","335","3.580","36.4","9.0","9.9","2.1","0.3",".",".","26.9","",".",".","",".","15.5",".",".",".","."
"Prof Yr 3","3","3.000",".",".","33.3",".",".",".",".","33.3","",".",".","",".","33.3",".",".",".","."
"Prof Yr 4","8","3.500","37.5",".","12.5",".",".",".",".","25.0","",".",".","",".","25.0",".",".",".","."
"Professionals","11","3.333","27.3",".","18.2",".",".",".",".","27.3","",".",".","",".","27.3",".",".",".","."
