"SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","",""
"699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","113","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","114","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","116","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","132","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","141","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","143","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","144","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","146","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","148","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","149","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","150","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","30","3.972","86.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"799
Ind Reading & Research","145","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","081","","22","3.628","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","082","","29","3.754","58.6","34.5","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","083","","22","3.476","22.7","54.5","13.6",".","4.5",".",".",".",".",".",".",".",".",".","4.5","."
"Third Year Surgery","Course Total","","73","3.634","43.8","41.1","12.3",".","1.4",".",".",".",".",".",".",".",".",".","1.4","."
"910","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","2","***","","","","","","","","","","","","","","","",""
"919","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920
Gen Surgery Clerkship-CSC","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clerkship-Meriter","Course Total","","8","3.889","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"923","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"923","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clrkshp-St Mary's","Course Total","","5","***","","","","","","","","","","","","","","","",""
