"CIVIL AND ENVIRONMENTAL EN Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Construction Systems","290","001","","22","3.773","68.2","22.7","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Prob Solv Using Cmptr Tools","291","001","","35","2.809","14.3","8.6","25.7","22.9","25.7",".",".",".",".",".",".",".",".",".","2.9","."
"Independent Study","299","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","","82","2.787","7.3","9.8","43.9","18.3","17.1","3.7",".",".",".",".",".",".",".",".",".","."
"Hydroscience","311","001","","51","2.882","9.8","25.5","21.6","29.4","9.8","2.0","2.0",".",".",".",".",".",".",".",".","."
"Environmental Engineering","320","001","","81","2.969","27.2","7.4","33.3","3.7","24.7","3.7",".",".",".",".",".",".",".",".",".","."
"Environmentl Engr Processes","322","001","","22","3.432","45.5","31.8","9.1","9.1",".",".","4.5",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330","001","","58","2.750","13.8","8.6","32.8","17.2","20.7","6.9",".",".",".",".",".",".",".",".",".","."
"Structural Analysis I","340","001","","62","2.944","12.9","21.0","35.5","19.4","6.5","1.6","3.2",".",".",".",".",".",".",".",".","."
"Intro to Geographc Info Sys","357","001","","8","2.750",".","50.0","25.0",".","12.5",".","12.5",".",".",".",".",".",".",".",".","."
"Transportation Engineering","370","001","","56","3.125","25.0","19.6","32.1","16.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395","001","","98","3.133","25.5","20.4","20.4","22.4","11.2",".",".",".",".",".",".",".",".",".",".","."
"Hydrologic Design","414","001","","15","3.429","53.3","6.7","6.7","20.0","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"Air Pollutn Measurmnt&Cntrl","423","001","","39","3.474","35.9","38.5","12.8","10.3","2.6",".",".",".",".",".",".",".",".",".",".","."
"Water Treatmnt Plant Design","428","001","","36","3.486","36.1","25.0","38.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concrete Structures I","447","001","","44","3.058","13.6","13.6","52.3","6.8","11.4",".",".",".",".",".",".",".","2.3",".",".","."
"Honors in Research","489","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Project Estimatng&Schedulng","492","001","","40","3.888","82.5","15.0",".","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Elec Systems for Construction","496","001","","16","3.200","12.5","18.8","56.3","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"Constructn Project Managmnt","498","001","","53","3.925","90.6","3.8","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hazardous Waste Management","522","001","","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations","532","001","","24","3.188","25.0","20.8","33.3","8.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"Steel Structures II","545","001","","17","3.294","17.6","47.1","23.5",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"Concrete Structures II","547","001","","28","3.241","21.4","32.1","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".","3.6","."
"Remote Sensing Digitl Image","556","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Geometric Dsgn-Transprt Fac","573","001","","35","3.214","17.1","28.6","45.7","2.9","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Senior Capstone Design","578","001","","42","3.762","64.3","23.8","11.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Transportation Engr","579","001","","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Water Chemistry","609","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topic-Hydraulics&Fluid Mech","618","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","619","001","","10","3.450","40.0","20.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","619","002","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Hydrology","","Course Total","","23","3.593","65.2","17.4","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Toxicants in the Environmnt","631","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Remediation Geotechnics","635","001","","7","3.500","42.9","14.3","14.3","14.3",".",".",".",".",".",".",".",".","14.3",".",".","."
"Specl Topic-Structural Engr","649","002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","679","003","","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","679","004","","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","679","005","","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Topic-Transprtatn&City Plan","","Course Total","","29","3.804","65.5","24.1","6.9",".",".",".",".","3.4",".",".",".",".",".",".",".","."
