"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","195","2.492","9.7","10.3","22.1","15.9","24.1","11.3","3.1","3.6",".",".",".",".",".",".",".","."
"Beginning Swimming","102
001","16","3.769","43.8","37.5",".",".",".",".",".","18.8",".",".",".",".",".",".",".","."
"","111
001","17","4.000","94.1",".",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","111
002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Self-defense&Assault Prevnt","Course Total","36","4.000","97.2",".",".",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"","125
001","16","",".",".",".",".",".",".",".","81.3",".",".",".",".",".",".","18.8","."
"","125
002","19","",".",".",".",".",".",".",".","84.2",".",".",".",".",".",".","15.8","."
"","125
003","19","",".",".",".",".",".",".",".","84.2",".",".",".",".",".",".","15.8","."
"","125
004","17","4.000","5.9",".",".",".",".",".",".","88.2",".",".",".",".",".",".","5.9","."
"Adapted Fitness&Pers Traing","Course Total","71","4.000","1.4",".",".",".",".",".",".","84.5",".",".",".",".",".",".","14.1","."
"","127
001","17","3.500","29.4","41.2","17.6","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"","127
002","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bowling I","Course Total","27","3.538","33.3","40.7","18.5","3.7",".",".",".","3.7",".",".",".",".",".",".",".","."
"","129
001","24","3.594","29.2","20.8","16.7",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","129
002","23","3.526","34.8","17.4","30.4",".",".",".",".","13.0",".",".",".",".",".","4.3",".","."
"","129
003","18","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","129
004","21","3.950","85.7","9.5",".",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Intro to Yoga Practice","Course Total","86","3.764","55.8","12.8","12.8",".",".",".",".","17.4",".",".",".",".",".","1.2",".","."
"","130
001","23","3.794","47.8","21.7","4.3",".",".",".",".","26.1",".",".",".",".",".",".",".","."
"","130
002","23","3.955","87.0","8.7",".",".",".",".",".",".","4.3",".",".",".",".",".",".","."
"Running (Aerobic Fitness)","Course Total","46","3.885","67.4","15.2","2.2",".",".",".",".","13.0","2.2",".",".",".",".",".",".","."
"","131
001","21","2.964","9.5","23.8","19.0",".","9.5",".","4.8","33.3",".",".",".",".",".",".",".","."
"","131
002","19","3.423","21.1","15.8","31.6",".",".",".",".","26.3",".",".",".",".",".",".",".","5.3"
"Cross Traing-Basic Fitness","Course Total","40","3.185","15.0","20.0","25.0",".","5.0",".","2.5","30.0",".",".",".",".",".",".",".","2.5"
"","132
001","18","3.955","55.6","5.6",".",".",".",".",".","38.9",".",".",".",".",".",".",".","."
"","132
002","14","3.636","28.6","42.9","7.1",".",".",".",".","21.4",".",".",".",".",".",".",".","."
"","132
003","19","3.861","68.4","26.3",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","132
004","19","3.765","63.2","21.1",".",".","5.3",".",".","10.5",".",".",".",".",".",".",".","."
"","132
005","22","3.361","27.3","31.8","13.6",".","4.5","4.5",".","18.2",".",".",".",".",".",".",".","."
"","006
132","24","3.750","54.2","33.3",".","4.2",".",".",".","4.2",".",".",".",".","4.2",".",".","."
"","132
007","22","3.675","54.5","18.2","13.6","4.5",".",".",".","4.5",".",".",".",".","4.5",".",".","."
"Weight Training","Course Total","138","3.705","50.7","25.4","5.1","1.4","1.4","0.7",".","13.8",".",".",".",".","1.4",".",".","."
"","133
003","24","3.706","37.5","25.0","8.3",".",".",".",".","25.0",".",".",".",".","4.2",".",".","."
"","133
004","25","3.920","84.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
133","23","3.952","87.0",".","4.3",".",".",".",".","8.7",".",".",".",".",".",".",".","."
"Rhythmic/Step Aerobics","Course Total","72","3.873","69.4","13.9","4.2",".",".",".",".","11.1",".",".",".",".","1.4",".",".","."
"","134
001","24","3.542","41.7","25.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","134
001","16","3.714","50.0","25.0","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","Section Total","40","3.605","45.0","25.0","25.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","134
002","22","4.000","77.3",".",".",".",".",".",".","22.7",".",".",".",".",".",".",".","."
"Relaxation Tech & Exercise","Course Total","62","3.727","56.5","16.1","16.1",".",".",".",".","8.1",".",".",".",".","3.2",".",".","."
"","138
001","17","3.864","47.1","17.6",".",".",".",".",".","35.3",".",".",".",".",".",".",".","."
"","138
002","17","3.773","41.2","17.6","5.9",".",".",".",".","35.3",".",".",".",".",".",".",".","."
"","138
003","14","3.444","14.3","28.6","21.4",".",".",".",".","35.7",".",".",".",".",".",".",".","."
