"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Introduction to Computation","202
001","75","3.333","36.0","24.0","21.3","8.0","4.0",".","2.7",".",".",".",".",".",".","4.0",".","."
"Intro to Discrete Mathematics","240
001","54","3.330","37.0","14.8","38.9","1.9",".","5.6",".",".",".",".",".",".","1.9",".",".","."
"","252
001","37","2.973","29.7","16.2","24.3","10.8","8.1","5.4","5.4",".",".",".",".",".",".",".",".","."
"","252
002","38","3.408","39.5","31.6","10.5","13.2","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","75","3.193","34.7","24.0","17.3","12.0","5.3","4.0","2.7",".",".",".",".",".",".",".",".","."
"Directed Study in Comp Sci","298
001","30","",".",".",".",".",".",".",".",".",".","90.0","3.3",".",".","3.3",".","3.3"
"","302
001","118","2.791","27.1","9.3","18.6","16.9","15.3","6.8","5.1","0.8",".",".",".",".",".",".",".","."
"","302
002","107","2.861","27.1","10.3","19.6","18.7","12.1","3.7","5.6","2.8",".",".",".",".",".",".",".","."
"","302
003","19","3.237","47.4","10.5","10.5","5.3","26.3",".",".",".",".",".",".",".",".",".",".","."
"","302
005","14","2.607","14.3",".","21.4","50.0","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"","006
302","22","2.682","18.2","4.5","31.8","13.6","18.2","13.6",".",".",".",".",".",".",".",".",".","."
"","302
008","22","2.909","27.3","18.2","22.7","9.1","13.6",".","9.1",".",".",".",".",".",".",".",".","."
"Introduction to Programming","Course Total","302","2.836","27.2","9.6","19.9","17.5","14.6","5.0","5.0","1.3",".",".",".",".",".",".",".","."
"","310
001","45","3.089","24.4","15.6","35.6","15.6","4.4","2.2","2.2",".",".",".",".",".",".",".",".","."
"","310
002","29","3.232","24.1","13.8","44.8","10.3","3.4",".",".","3.4",".",".",".",".",".",".",".","."
"Prob Solvng Using Computers","Course Total","74","3.144","24.3","14.9","39.2","13.5","4.1","1.4","1.4","1.4",".",".",".",".",".",".",".","."
"","352
001","26","3.115","19.2","26.9","26.9","19.2","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"","352
002","34","2.588","23.5","8.8","11.8","20.6","17.6","11.8","5.9",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","60","2.817","21.7","16.7","18.3","20.0","11.7","8.3","3.3",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","354
001","75","3.280","38.7","21.3","22.7","8.0","4.0","2.7","2.7",".",".",".",".",".",".",".",".","."
"","367
001","70","2.919","30.0","8.6","31.4","10.0","5.7","2.9","8.6","1.4",".",".",".",".","1.4",".",".","."
"","367
002","82","3.268","30.5","17.1","37.8","9.8","3.7",".","1.2",".",".",".",".",".",".",".",".","."
"","367
003","14","3.536","57.1","14.3","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Data Structures","Course Total","166","3.146","32.5","13.3","33.1","9.6","4.8","1.2","4.2","0.6",".",".",".",".","0.6",".",".","."
"Learn New Programming Lang","368
001","36","",".",".",".",".",".",".",".",".",".","91.7","5.6",".",".",".","2.8","."
"Tech:Computer-Based Bus Sys","371
001","13","3.308","61.5","7.7","7.7","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"Intro to Numerical Methods","412
001","46","2.920","15.2","15.2","34.8","17.4","8.7",".","4.3",".",".",".",".",".","2.2","2.2",".","."
"Intro-Combinatorics","475
001","6","3.250","50.0","16.7",".",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Theory of Computing","520
001","50","2.910","10.0","36.0","24.0","14.0","6.0","6.0","4.0",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","11","3.000","18.2","27.3","27.3","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"Intro-Progm Langs&Compilers","536
001","56","2.902","23.2","21.4","26.8","5.4","12.5","3.6","7.1",".",".",".",".",".",".",".",".","."
"","537
001","61","3.211","34.4","24.6","18.0","11.5","4.9","1.6","3.3","1.6",".",".",".",".",".",".",".","."
"","537
002","40","3.169","42.5","12.5","20.0","7.5","5.0","2.5","5.0","5.0",".",".",".",".",".",".",".","."
"Intro to Operating Systems","Course Total","101","3.195","37.6","19.8","18.8","9.9","5.0","2.0","4.0","3.0",".",".",".",".",".",".",".","."
"Intro-Artificl Intelligence","540
001","53","2.679","17.0","17.0","24.5","17.0","7.5","9.4","7.5",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","552
001","16","3.156","37.5","12.5","31.3","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"Intro-Computationl Geometry","558
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Computer Graphics","559
001","32","2.903","31.3","18.8","15.6",".","15.6","12.5","3.1","3.1",".",".",".",".",".",".",".","."
"Database Mgt Systems","564
002","37","3.059","21.6","18.9","37.8","5.4","8.1","5.4",".","2.7",".",".",".",".",".",".",".","."
"Introduction to Algorithms","577
001","58","2.853","22.4","3.4","46.6","8.6","8.6","5.2","5.2",".",".",".",".",".",".",".",".","."
"Tools & Envirnmt-Optimizatn","635
001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","638
001","17","3.281","52.9","17.6","11.8",".",".",".","11.8",".",".",".",".",".",".","5.9",".","."
"","638
002","40","3.740","67.5","27.5","2.5",".",".",".","2.5",".",".",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","Page 189 of 413",""
