"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","",""
"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"","232
002","","10","3.897","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Life Drawing I","Course Total","","24","3.853","70.8","29.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art Metal I","244
001","","9","3.530","33.3","44.4","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Color","302
001","","18","3.667","38.9","55.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Relief Printmaking","306
001","","12","3.556","25.0","66.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","312
001","","12","3.739","75.0","16.7",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","312
002","","11","3.591","54.5","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Drawing I","Course Total","","23","3.667","65.2","17.4","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"Sculpture II","314
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Lithography","316
001","","10","3.722","70.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","10.0"
"Intermediate Painting I","322
001","","6","3.667","83.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Ceramics II","324
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Etching","326
001","","11","3.409","18.2","54.5","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Computer in the Visual Arts","328
001","","13","3.692","69.2","15.4","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","332
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Life Drawing II","Course Total","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wood Working","334
001","","13","3.965","84.6","7.7",".",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"Serigraphy","336
001","","15","3.576","60.0","13.3","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Typography & Communicatn Dsgn","346
001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Glassworking","354
001","","11","3.364","9.1","72.7","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Print Prod Techniques(Digital)","356
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","366
001","","6","3.283","33.3","33.3",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","366
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stage Lighting I","Course Total","","8","3.250","37.5","25.0",".","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"","376
001","","11","3.720","72.7","18.2",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","002
376","","12","3.609","33.3","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Photography","Course Total","","23","3.661","52.2","39.1","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","412
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","412
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Drawing II","Course Total","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art Foundry","414
001","","9","3.438",".","77.8","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Sound Dsgn-Perf/Visual Arts","420
001","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Painting II","422
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Computer Imaging Techniques","428
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3D Digital Studio I","429
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Sound Design","430
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","448
001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"","448
002","","10","3.688","70.0",".","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","448
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","448
005","","13","3.844","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
