"EDU","","","","","","","","","","","","","","","","","","","","",""
"","ART EDUCATION (DEPT OF ART) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","",""
"Stdt Tchg-Elem School Art","423","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Tchg-Secondary Sch Art","424","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Art-Exceptional Education","570","001","","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading & Rsch","699","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Art Education","951","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Independent Reading","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"ART ED
176","","Dept. Total","","30","3.936","86.7","3.3","6.7",".",".",".",".",".",".",".",".",".","3.3",".",".","."
