"REHAB PSYCH & SPECIAL EDUC Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","",""
"","300
001","87","3.659","52.9","31.0","8.0","3.4","2.3",".",".",".",".",".",".",".","2.3",".",".","."
"","300
002","68","3.706","60.3","29.4","8.8",".",".",".","1.5",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","155","3.680","56.1","30.3","8.4","1.9","1.3",".","0.6",".",".",".",".",".","1.3",".",".","."
"Behav Anal:Person-Disabilty","330
001","30","3.750","53.3","43.3","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Families-Individs w/ Disabils","450
001","21","3.690","57.1","23.8","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indiv/Learn & Behav Disability","470
001","34","3.544","50.0","26.5","8.8","11.8","2.9",".",".",".",".",".",".",".",".",".",".","."
"Mth&Curric:Lrn&Bhv Dis, 6-12","472
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diagnosis&Assessmt:Lrn&Bhv Dis","474
001","33","3.955","93.9","3.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract: Stdts/Lrn&Bhv Dis, K-9","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","477
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","477
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","477
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach: Lrn&Bhv Dis, K-9","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","478
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","478
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","478
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach:Lrn & Bhv Dis, 6-12","Course Total","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang&Readng: Learn&Behav Disab","479
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Applcatn","501
001","20","3.850","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab Psych-Medical Aspects","550
001","26","3.654","53.8","26.9","15.4","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Multiculturl Issues-Special Ed","610
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
019","30","3.991","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
020","21","4.000","95.2",".",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","51","3.995","96.1","2.0",".",".",".",".",".",".",".",".",".",".","2.0",".",".","."
"","660
025","15","3.633","53.3","20.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
033","13","3.917","84.6",".","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","660
034","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","40","3.808","72.5","12.5","12.5",".",".",".",".",".",".",".",".",".","2.5",".",".","."
"","690
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","699
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","3","***","","","","","","","","","","","","","","","",""
"Career Couns & Job Placemnt","725
001","22","3.818","81.8","4.5","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Spec St-Indiv w/Disablties","802
001","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Current Issues-Special Educ","803
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
