"ECONOMICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"Economics of Health Care","548","001","","29","3.052","20.7","17.2","20.7","34.5","6.9",".",".",".",".",".",".",".",".",".",".","."
"Pub Finance-Less Dev Cntry","567","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tutorial-Rsch Project Dsgn","590","001","","12","3.667","58.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Population and Society","663","001","","8","3.429","12.5","50.0","25.0",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Advanced Internatl Finance","666","001","","16","3.133","18.8","12.5","43.8","12.5","6.3",".",".",".",".",".",".",".","6.3",".",".","."
"Energy Economics","671","001","","17","3.206","23.5","29.4","23.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"","682","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Directed Study","698","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Institutional Economics","707","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Econ Stats & Econometrics 2","710","001","","58","3.364","25.9","27.6","41.4","5.2",".",".",".",".",".",".",".",".",".",".",".","."
"","713","001","","31","3.097","3.2","16.1","77.4","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"","713","002","","26","3.000","11.5","7.7","69.2","7.7",".",".","3.8",".",".",".",".",".",".",".",".","."
"Thry: Microeconomics Seqnce","","Course Total","","57","3.053","7.0","12.3","73.7","5.3",".",".","1.8",".",".",".",".",".",".",".",".","."
"","714","001","","27","3.519","44.4","18.5","33.3","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","714","002","","25","3.158","12.0","40.0","44.0",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"Thry: Macroeconomics Seqnce","","Course Total","","52","3.344","28.8","28.8","38.5","1.9",".",".","1.9",".",".",".",".",".",".",".",".","."
"Topics-Applied Econometrics","718","001","","14","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Institutn Aspect-Labor Econ","751","001","","15","3.567","33.3","46.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Organizat Theory","761","001","","11","3.900","72.7","18.2",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Adv Microeconomic Theory II","806","001","","15","3.750","40.0","40.0",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"Adv International Economics","872","001","","8","3.688","75.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","899","001","","10","3.611","40.0","30.0","20.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","899","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","899","003","","14","3.583","14.3","71.4",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Recent Advances-Economics","","Course Total","","32","3.703","43.8","40.6","6.3",".",".",".",".","3.1",".",".",".",".","6.3",".",".","."
"Workshop in Economic Theory","902","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Industrl Organizatn","904","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Econometrics","914","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Labor Economics","956","001","","14","",".",".",".",".",".",".",".","92.9",".",".",".",".","7.1",".",".","."
"Quantitatve Macro-Econ Anal","966","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop - Public Economics","969","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
