"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"915","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"915","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"915","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundmtls Interntl Hlth-MSC","Course Total","","16","3.607","37.5","31.3","18.8",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Research","Course Total","","23","",".",".",".",".",".",".",".","82.6",".",".",".","17.4",".",".",".","."
