"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Hist-Civil War-Present","102","001","208","3.275","24.0","31.7","24.5","10.1","1.9","1.9","1.0","3.8",".",".",".",".",".","1.0",".","."
"Medieval Europe 410-1500","115","001","70","3.515","31.4","42.9","18.6","1.4",".","1.4",".","4.3",".",".",".",".",".",".",".","."
"Modern Europe 1500-1815","119","001","130","2.678","4.6","16.2","30.8","29.2","12.3","0.8","5.4","0.8",".",".",".",".",".",".",".","."
"Europe&Mod World 1815-On","120","001","195","3.216","17.9","35.4","28.2","9.7","3.6","1.5","1.0","2.6",".",".",".",".",".",".",".","."
"British Hist: 1688-Present","124","001","44","3.453","47.7","31.8","9.1","2.3",".","2.3","4.5",".",".",".",".",".",".",".","2.3","."
"AsianAm His:Settlmnt&Belonging","161","001","50","3.344","28.0","40.0","14.0","6.0","6.0",".","2.0","4.0",".",".",".",".",".",".",".","."
"Directed Study","199","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Historical Studies","200","001","16","3.433","31.3","31.3","25.0",".","6.3",".",".",".",".",".",".",".","6.3",".",".","."
"Explorations in Amer Hist (H)","221","001","48","3.179","12.5","18.8","37.5","10.4","2.1",".",".","18.8",".",".",".",".",".",".",".","."
"","223","001","41","3.385","31.7","31.7","17.1","12.2",".","2.4",".","4.9",".",".",".",".",".",".",".","."
"","223","002","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Exploration-European Hist (H)","","Course Total","48","3.413","31.3","35.4","16.7","10.4",".","2.1",".","4.2",".",".",".",".",".",".",".","."
"Exploration-3rd World Hist (H)","225","001","43","3.675","48.8","32.6","9.3",".","2.3",".",".",".",".",".",".",".","7.0",".",".","."
"SE Asian Refugees of Cold War","246","001","38","3.243","7.9","55.3","21.1",".","2.6","5.3",".","7.9",".",".",".",".",".",".",".","."
"History of American Capitalism","247","001","71","3.272","21.1","19.7","47.9","4.2","2.8",".",".","2.8",".",".",".",".",".",".",".","1.4"
"Eastern Europe:Interdis Survey","254","001","24","3.174","41.7","16.7","12.5","8.3","8.3","4.2","4.2",".",".",".",".",".",".","4.2",".","."
"Cen Asia: Silk Route-Afghan","265","001","97","3.352","20.6","36.1","26.8","9.3","1.0",".",".","3.1",".",".",".",".","3.1",".",".","."
"Africa: Introductory Survey","277","001","39","3.000","20.5","12.8","38.5","17.9","5.1","2.6","2.6",".",".",".",".",".",".",".",".","."
"Afro-Atlantic Hist 1808-Presnt","279","001","133","3.181","20.3","22.6","33.8","12.0","6.0",".","0.8","3.8",".",".",".",".","0.8",".",".","."
"A History of Rome","307","001","232","3.425","19.0","49.6","24.1","3.0","1.3",".",".","3.0",".",".",".",".",".",".",".","."
"Crusades: Christianity & Islam","309","001","57","3.740","52.6","22.8","5.3","3.5",".",".",".","14.0",".",".",".",".","1.8",".",".","."
"The Medieval Church","312","001","38","2.968","10.5","28.9","28.9","10.5","10.5","7.9",".","2.6",".",".",".",".",".",".",".","."
"Sci Revol:Copernicus-Newton","323","001","17","3.269","17.6","29.4","11.8","11.8","5.9",".",".","23.5",".",".",".",".",".",".",".","."
"Women&Gender in US Since 1870","354","001","66","3.528","30.3","40.9","22.7","1.5",".",".",".","3.0",".",".",".",".","1.5",".",".","."
"Modern Britain: 1485-1660","361","001","69","3.313","36.2","27.5","13.0","11.6","5.8",".","2.9","2.9",".",".",".",".",".",".",".","."
"Slavery,Civil War&Recon1848-77","393","001","135","3.091","20.0","23.7","22.2","9.6","8.9","3.0","1.5","0.7",".",".",".",".","0.7","8.1",".","1.5"
"United States, 1877-1914","395","001","47","3.222","14.9","31.9","21.3","8.5","8.5",".",".","12.8",".",".",".",".","2.1",".",".","."
"United States 1914-1945","397","001","136","3.442","26.5","39.7","23.5","2.9","0.7","1.5",".","4.4",".",".",".",".","0.7",".",".","."
"The US Since 1945","398","001","139","3.376","30.9","24.5","28.8","3.6","2.2","1.4","0.7","7.9",".",".",".",".",".",".",".","."
"Immigratn&Assimlatn-Am Hist","403","001","69","3.353","27.5","26.1","29.0","7.2",".",".","1.4","5.8",".",".",".",".","1.4",".",".","1.4"
"Am Labor Hist: 1900-Present","408","001","43","3.771","79.1","7.0",".","4.7",".",".","2.3","4.7",".",".",".",".",".",".",".","2.3"
"Hist-Germany, 1871-Present","410","001","69","2.924","10.1","26.1","20.3","21.7",".","2.9","4.3","14.5",".",".",".",".",".",".",".","."
"History-American Education","412","001","54","3.304","24.1","31.5","22.2","11.1","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"History-Scand Since 1815","432","001","36","3.355","33.3","22.2","13.9","5.6","11.1",".",".","13.9",".",".",".",".",".",".",".","."
"Islamic Hist:Orig-Ottoman Empr","439","001","83","3.378","32.5","28.9","25.3","4.8","4.8",".","1.2","1.2",".",".",".",".",".",".",".","1.2"
"Rev&Conflict-Mod Latin Amer","441","001","66","3.392","15.2","54.5","22.7","4.5","1.5",".",".","1.5",".",".",".",".",".",".",".","."
"History of East Africa","444","001","26","3.550","26.9","53.8","11.5","3.8",".",".",".","3.8",".",".",".",".",".",".",".","."
"Samurai: History and Image","454","001","61","2.949","32.8","16.4","11.5","9.8","13.1","4.9","4.9","4.9",".",".",".",".","1.6",".",".","."
"Japan, US-Crisis in Asia","456","001","54","3.251","22.2","29.6","18.5","13.0","1.9","3.7",".","7.4",".",".",".",".","1.9",".",".","1.9"
"Hist SE Asia Since 1800","458","001","37","3.504","35.1","35.1","16.2","8.1",".",".",".","5.4",".",".",".",".",".",".",".","."
