"Foundations of US Air Force II","102
001","","17","3.853","76.5","17.6","5.9",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Evolution of US Air & Space II","202
001","","17","3.676","64.7","17.6","5.9","11.8","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Leadership Studies II","304
001","","10","3.950","90.0","10.0",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Preparation for Active Duty","402
001","","9","3.667","44.4","44.4","11.1",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"A F AERO
102","Dept. Total","","53","3.797","69.8","20.8","5.7","3.8","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","4","3.625","50.0","25.0","25.0",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","12","3.625","50.0","33.3","8.3","8.3","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","21","3.955","95.2",".",".","4.8","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","14","3.725","50.0","42.9","7.1",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","51","3.792","68.6","21.6","5.9","3.9","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","2","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","53","3.797","69.8","20.8","5.7","3.8","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
