"ASIAN AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","",""
"Intro-Comparatv Ethnic Studies","102
001","24","3.364","45.8",".","29.2","8.3","8.3",".",".","4.2","4.2",".",".",".",".",".",".","."
"Asian American Movement","153
001","17","3.824","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"AsianAm His:Settlmnt&Belonging","161
001","79","3.195","25.3","32.9","19.0","10.1","5.1","2.5","2.5","1.3",".",".",".",".","1.3",".",".","."
"Ethnic Movements in U.S.","220
001","37","3.514","35.1","43.2","13.5","2.7",".","2.7",".","2.7",".",".",".",".",".",".",".","."
"Topics-Asian Amer Studies","240
001","34","3.545","52.9","17.6","14.7","5.9","5.9",".",".","2.9",".",".",".",".",".",".",".","."
"SE Asian Refugees of Cold War","246
001","34","3.235","17.6","50.0","20.6","2.9","2.9","2.9","2.9",".",".",".",".",".",".",".",".","."
"","540
001","31","3.500","48.4","16.1","22.6","3.2","6.5",".",".","3.2",".",".",".",".",".",".",".","."
"","540
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","34","3.530","50.0","17.6","20.6","2.9","5.9",".",".","2.9",".",".",".",".",".",".",".","."
"","540
002","13","2.542","7.7","15.4","30.8","7.7","15.4","7.7","7.7","7.7",".",".",".",".",".",".",".","."
"Special Topics","Course Total","47","3.267","38.3","17.0","23.4","4.3","8.5","2.1","2.1","4.3",".",".",".",".",".",".",".","."
"","560
001","31","3.379","22.6","41.9","16.1","9.7","3.2",".",".","6.5",".",".",".",".",".",".",".","."
"","560
002","27","3.815","77.8","14.8","3.7",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"Humanities Topics","Course Total","58","3.589","48.3","29.3","10.3","5.2","3.4",".",".","3.4",".",".",".",".",".",".",".","."
"Race & Sexuality in Amer Lit","654
001","8","3.375","25.0","37.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Minorities","662
001","16","3.438","25.0","56.3","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Ind Study:Directed Readings","699
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"ASIAN AM
184","Dept. Total","356","3.397","37.4","30.3","16.6","5.9","4.5","1.4","1.1","2.2","0.3",".",".",".","0.3",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","",""
"Freshmen","","25","2.969","20.0","16.0","28.0","20.0","12.0","4.0",".",".",".",".",".",".",".",".",".","."
"Sophomore","","86","3.403","41.9","30.2","19.8","2.3","1.2","2.3","2.3",".",".",".",".",".",".",".",".","."
"Junior","","94","3.399","36.2","33.0","12.8","7.4","7.4",".","1.1","2.1",".",".",".",".",".",".",".","."
"Senior","","149","3.484","38.3","31.5","15.4","4.7","3.4","1.3",".","4.0","0.7",".",".",".","0.7",".",".","."
"Undergraduates","","354","3.405","37.3","30.5","16.7","5.9","4.5","1.4","0.8","2.3","0.3",".",".",".","0.3",".",".","."
"Special","","1","0.000",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".",".","."
"Graduate","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","356","3.397","37.4","30.3","16.6","5.9","4.5","1.4","1.1","2.2","0.3",".",".",".","0.3",".",".","."
