"DANCE PROGRAM","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","","",""
"Modern Dance I","11","001","","19","3.917","89.5",".",".","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"Modern Dance Technique I","111","001","","18","3.639","44.4","44.4","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Dance Technique II","112","001","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I-B","126","001","","16","3.344","37.5","18.8","31.3",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Rhythmic Training for Dancers","144","001","","20","3.825","70.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Movemnt as Matl Thru Improv","151","001","","17","3.618","47.1","41.2",".","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Asian American Movement","153","001","","9","3.667","66.7","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"World Dance Cultures","165","001","","21","3.786","85.7",".","4.8","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Intro-Movement Analysis","167","001","","25","3.860","84.0","12.0",".",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Dance Production","170","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Production Laboratory","171","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","177","001","","36","3.848","75.0","5.6","11.1",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","177","002","","35","3.879","71.4","2.9","8.6",".",".",".",".","17.1",".",".",".",".",".",".",".","."
"African Dance","","Course Total","","71","3.863","73.2","4.2","9.9",".",".",".",".","12.7",".",".",".",".",".",".",".","."
"Dance","205","001","","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet I","21","001","","24","3.913","79.2","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","4.2"
"","211","001","","15","3.704","46.7","33.3","13.3",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","211","002","","26","3.462","15.4","65.4","15.4","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Dance Technique III","","Course Total","","41","3.585","26.8","53.7","14.6","2.4",".",".",".","2.4",".",".",".",".",".",".",".","."
"Modern Dance Technique IV","212","001","","16","3.519","25.0","50.0","18.8",".",".",".",".",".",".",".",".",".",".","6.3",".","."
"New Movement Techniques","213","001","","16","3.750","68.8","12.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet II","22","001","","21","3.825","71.4","14.3","9.5",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Ballet Technique II-B","226","001","","19","3.438","26.3","31.6","21.1",".","5.3",".",".","15.8",".",".",".",".",".",".",".","."
"Modern Jazz Dance","31","001","","25","3.579","36.0","16.0","24.0",".",".",".",".","24.0",".",".",".",".",".",".",".","."
"Modern Dance Technique VI","312","001","","10","3.660","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Jazz Dance II","32","001","","17","3.706","52.9","35.3","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique III","325","001","","16","3.567","56.3","18.8","12.5","6.3",".","6.3",".",".",".",".",".",".",".",".",".","."
"Dance History II: Contemporary","365","001","","12","3.333","50.0","16.7","8.3","16.7",".","8.3",".",".",".",".",".",".",".",".",".","."
"","399","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","063","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Project","","Course Total","","18","3.864","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","41","001","","47","3.947","72.3","8.5",".",".",".",".",".","19.1",".",".",".",".",".",".",".","."
"","41","002","","43","3.702","46.5","44.2","7.0",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"","41","003","","49","3.744","46.9","42.9","2.0",".",".",".",".","8.2",".",".",".",".",".",".",".","."
"","41","004","","48","3.762","50.0","33.3","4.2",".",".",".",".","10.4",".",".",".",".",".","2.1",".","."
"Ballroom Dancing","","Course Total","","187","3.784","54.0","32.1","3.2",".",".",".",".","10.2",".",".",".",".",".","0.5",".","."
"Sound Dsgn-Perf/Visual Arts","420","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
