"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Intro-Theatre & Dramatic Lit","120
001","336","3.632","57.1","24.1","11.0","3.6","3.0","0.6","0.3",".",".",".",".",".",".",".",".","0.3"
"Voice Training","140
001","19","3.750","78.9","5.3","5.3",".",".","5.3",".",".",".",".",".",".",".",".",".","5.3"
"","150
001","15","3.733","80.0",".","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","150
002","17","3.618","47.1","35.3","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","150
003","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
004","18","3.444","33.3","38.9","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","150
005","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
006","18","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
007","19","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
008","19","3.684","84.2",".","10.5",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","150
010","16","3.767","75.0","6.3",".","12.5",".",".",".","6.3",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","156","3.758","72.4","14.7","7.7","2.6","1.3",".","0.6","0.6",".",".",".",".",".",".",".","."
"Intro to Stage Production","160
001","25","3.167","36.0","28.0",".","12.0","12.0","8.0",".","4.0",".",".",".",".",".",".",".","."
"","161
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
002","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","162
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","162
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","162
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theatre Production Laboratory","Course Total","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
001","15","3.536","20.0","66.7",".","6.7",".",".",".",".",".",".",".",".","6.7",".",".","."
"","250
002","19","3.763","57.9","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","34","3.667","41.2","50.0","2.9","2.9",".",".",".",".",".",".",".",".","2.9",".",".","."
"Fund-Stage Lighting Technology","266
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Traditions in Dramatic Lit","324
001","43","3.500","51.2","14.0","14.0","7.0",".","4.7",".","7.0","2.3",".",".",".",".",".",".","."
"Acting Realism","350
001","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
001","14","3.962","85.7","7.1",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","357
002","15","3.667","86.7",".","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","357
003","14","3.536","64.3","21.4","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Intro Theatre-Cultrl&Soc Aware","Course Total","43","3.714","79.1","9.3","4.7",".",".",".","4.7","2.3",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","11","3.706","81.8",".","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","362
001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
003","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","362
004","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
005","14","3.923","85.7",".","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Drama in Education","Course Total","40","3.934","85.0","7.5","2.5",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","366
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","366
002","8","3.865","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","Course Total","13","3.761","69.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rendering for the Stage","374
001","15","3.536","13.3","73.3","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Contemp World Theatre & Lit","424
001","32","3.935","84.4","12.5",".",".",".",".",".","3.1",".",".",".",".",".",".",".","."
