"TERM : 1104","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2009-2010","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"LAFOLLETTE SCHOOL PUB AFF Section","#","Ave","A","AB","B","BC","","C","","D","","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","","",""
"PUB AFFR
Dept. Total
826","305","3.748","57.4","35.1","4.3","",".","",".","",".","0.7","1.6","0.3",".","",".","",".","0.3","0.3",".","."
"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","3.500",".","100.0",".","",".","",".","",".",".",".",".",".","",".","",".",".",".",".","."
"Senior","27","3.796","66.7","25.9","7.4","",".","",".","",".",".",".",".",".","",".","",".",".",".",".","."
"Undergraduates","28","3.786","64.3","28.6","7.1","",".","",".","",".",".",".",".",".","",".","",".",".",".",".","."
"Special","6","3.833","66.7","33.3",".","",".","",".","",".",".",".",".",".","",".","",".",".",".",".","."
"Graduate","256","3.745","57.0","35.5","3.9","",".","",".","",".","0.8","1.6","0.4",".","",".","",".","0.4","0.4",".","."
"Prof Yr 2","6","3.500","16.7","66.7","16.7","",".","",".","",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 3","5","3.900","80.0","20.0",".","",".","",".","",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 4","4","3.786","50.0","25.0",".","",".","",".","",".",".","25.0",".",".","",".","",".",".",".",".","."
"Professionals","15","3.700","46.7","40.0","6.7","",".","",".","",".",".","6.7",".",".","",".","",".",".",".",".","."
"Dept. Total","305","3.748","57.4","35.1","4.3","",".","",".","",".","0.7","1.6","0.3",".","",".","",".","0.3","0.3",".","."
