"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"101
Beginning Class Piano","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"102","001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","002","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","003","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","20","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"103
Elementary Class Piano","001","","7","3.500","71.4",".",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"104","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"104","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Class Piano","Course Total","","8","3.688","75.0",".","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"12
Fundamentals: Double Reeds","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"143","001","","14","3.846","78.6","7.1",".","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"143","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Performance: Voice","Course Total","","20","3.895","85.0","5.0",".","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"144","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"144","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"144","102","","9","4.000","88.9",".",".",".",".",".",".",".",".","11.1",".",".",".",".",".","."
"144","103","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Vocal Instr: Non-Voice Majors","Course Total","","17","4.000","94.1",".",".",".",".",".",".",".",".","5.9",".",".",".",".",".","."
"18
Fundamentals-High Brass","001","","9","3.500","22.2","55.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"200","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"200","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","250","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","251","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"200","252","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"200","253","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"200","254","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intermed Piano-Non-Majors","Course Total","","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"201","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"201","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"201","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","6","3.688","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"203
Elem/Intmed Organ","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"205","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"205","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"205","061","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"205","062","","10","3.682","80.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"205","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"205","103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","24","3.833","83.3","12.5",".",".",".","4.2",".",".",".",".",".",".",".",".",".","."
"207
Elem/Intmed Flute","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"209
Elem/Intmed Oboe","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"211
Elem/Intmed Clarinet","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"213
Element/Intermed Saxophone","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 268 of 413",""
