"THEATRE AND DRAMA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","",""
"453
Javanese Performance Repertory","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"464
Costume Technology Topics","001","","10","2.741","20.0","10.0","40.0",".","10.0",".","10.0",".",".",".",".",".","10.0",".",".","."
"469
Interdis Studies in the Arts","001","","13","3.400","46.2","23.1",".","7.7",".",".","7.7","15.4",".",".",".",".",".",".",".","."
"532
History of Russian Theatre","001","","13","3.500","38.5","23.1","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"549
Modern Indian Theatre","001","","6","3.500","33.3","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"561
Backstage Laboratory III","001","","34","3.880","91.2","5.9",".",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"568
Directing Lab","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"572
Set Design II","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"579
Adv Concepts Stage Management","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","001","","10","3.667","80.0",".",".",".",".","10.0",".","10.0",".",".",".",".",".",".",".","."
"619","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"619","003","","6","3.231",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","004","","9","3.868","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"619","008","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Specl Topics-Theatre&Drama","Course Total","","40","3.776","75.0","10.0","10.0",".",".","2.5",".","2.5",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","29","3.986","96.6",".","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"732
Adv Theatre Hist-1700-Pres","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"740
Voice Training","001","","10","3.700","70.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"742
Graduate Stage Movement","001","","10","3.700","90.0",".",".",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"750
Graduate Acting","001","","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"768
Adv Problems in Directing","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"770
Advanced Theatre Technology","001","","7","3.571","57.1",".","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"911
Smr-Probs in Theatre&Drama","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
