"EDUCATIONAL POLICY STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"300
School and Society","001","","49","3.724","73.5","10.2","10.2",".","6.1",".",".",".",".",".",".",".",".",".",".","."
"335
Globalization and Education","001","","16","3.467","25.0","43.8","18.8","6.3",".",".",".",".",".",".",".",".","6.3",".",".","."
"399","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","3","***","","","","","","","","","","","","","","","",""
"412
History-American Education","001","","59","3.500","40.7","28.8","16.9","6.8","3.4",".",".","1.7",".",".",".",".",".",".",".","1.7"
"567
History of African-Amer Educ","001","","14","3.571","64.3","14.3","14.3",".",".","7.1",".",".",".",".",".",".",".",".",".","."
"600","002","","12","3.636","41.7","33.3","16.7",".",".",".",".",".",".",".",".","8.3",".",".",".","."
"600","003","","11","3.537","27.3","45.5","18.2",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"600","004","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problems in Educ Pol","Course Total","","52","3.747","71.2","17.3","7.7",".",".",".",".",".",".",".",".","1.9","1.9",".",".","."
"648
Sociology of Education","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"665
Hist of Fed Role in Amer Educ","001","","10","3.563","50.0","10.0","10.0",".","10.0",".",".","20.0",".",".",".",".",".",".",".","."
"699
Independent Reading","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"713
Hist: Higher Ed-Europe&Amer","001","","7","2.857",".","57.1","28.6",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"740
Classics in Education","001","","12","3.818","58.3","33.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"750
African Ed-Past,Pres&Future","001","","14","3.636","35.7","28.6","14.3",".",".",".",".","7.1",".",".",".","7.1","7.1",".",".","."
"765
Issues in Educ Policy Analysis","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"780
Special Topics in Educ Policy","001","","20","4.000","95.0",".",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"903
Hist of Educ-Multiculturl Amer","001","","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"970
Smr-Anthropology&Education","001","","20","3.868","75.0","15.0","5.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","33","",".",".",".",".",".",".",".","60.6",".",".",".","39.4",".",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","5","***","","","","","","","","","","","","","","","",""
