"SLAVIC (SLAVIC LANGUAGES)","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","","",""
"","102","001","","12","3.167","41.7",".","50.0",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","102","002","","19","3.833","73.7","10.5","10.5",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","102","003","","12","3.182","25.0","25.0","16.7","8.3","16.7",".",".","8.3",".",".",".",".",".",".",".","."
"","102","004","","13","3.654","69.2",".","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102","006","","6","3.417","50.0",".","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"2nd Semester Russian","","Course Total","","62","3.500","54.8","8.1","24.2","4.8","3.2",".","1.6","3.2",".",".",".",".",".",".",".","."
"Second Semester Czech","116","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Semester Serbo-Croatian","142","001","","12","3.700","58.3","8.3","8.3","8.3",".",".",".","16.7",".",".",".",".",".",".",".","."
"Russ Honor Tutorial-Slav102","182","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204","001","","17","3.625","58.8","23.5","5.9",".",".","5.9",".","5.9",".",".",".",".",".",".",".","."
"","204","002","","16","3.469","43.8","18.8","31.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Russian","","Course Total","","33","3.547","51.5","21.2","18.2",".","3.0","3.0",".","3.0",".",".",".",".",".",".",".","."
"Fourth Semester Polish","208","001","","11","3.545","63.6","9.1","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"4th Semester Serbo-Croatian","252","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eastern Europe:Interdis Survey","254","001","","11","3.636","54.5","36.4",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Third Year Russian II","276","001","","17","3.206","41.2","11.8","23.5","5.9","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"Third Year Polish I","277","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Year Polish II","278","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Russ Honor Tutorial-Slav204","284","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Zarys historii lit polskiej","302","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"6th Sem Intensive Polish","306","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Russian Lang & Culture II","316","001","","15","3.500","53.3","13.3","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Fourth Year Russian II","322","001","","19","3.605","52.6","15.8","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"E Christianity/Russn Orthodoxy","325","001","","8","3.563","75.0",".",".","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Fourth Year Polish I","331","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Year Polish II","332","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Uvod u srpsku i hrvtsku lit","342","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Sem Intensive Czech","352","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Chekhov","420","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Dostoevsky","422","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4th Sem Intensive Serbo-Cro","442","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Moderna srpska/hrvatska lit","454","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist lit polsk do roku 1863","470","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Russian Theatre","532","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
