"L&S","","","","","","","","","","","","","","","","","","","",""
"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"Divides&Differences-Multicultr","202
001","","117","3.504","40.2","27.4","23.1","3.4","1.7","0.9",".","3.4",".",".",".",".",".",".",".","."
"","451
001","","34","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","451
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Foundatns of Reference Service","Course Total","","37","3.973","94.6","5.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
001","","38","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Organization of Information","Course Total","","39","3.821","69.2","25.6","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Records Management","616
001","","24","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Information Systems","617
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","629
001","","29","3.804","62.1","31.0","3.4",".",".",".",".",".",".",".",".",".",".",".","3.4","."
"","629
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Multicult Lit-Chld&Yng Adlt","Course Total","","34","3.818","64.7","29.4","2.9",".",".",".",".",".",".",".",".",".",".",".","2.9","."
"Reference & Info Service","635
001","","26","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Library&Informatn St","640
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","641
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","641
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"School Library/Media Center","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
001","","27","3.537","25.9","55.6","18.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
002","","9","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Digital Tools, Trends, Debates","Course Total","","40","3.550","25.0","60.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","645
001","","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","645
002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","645
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intellectual Freedom&Libr","Course Total","","33","3.970","93.9","6.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cataloging & Classification","651
001","","27","3.889","81.5","14.8","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","653
001","","18","3.750","61.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","653
002","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","653
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Government Info Sources","Course Total","","26","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
001","","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
002","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Services Management","Course Total","","33","3.970","93.9","6.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","655
001","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","655
002","","12","3.708","66.7","8.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collection Management","Course Total","","30","3.867","83.3","6.7","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Ethics and Policy","661
001","","28","3.946","92.9","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","710
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
