"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"PHMCOL-M","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","3","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","5","4.000","80.0",".",".","",".","",".","",".","",".",".","",".",".","",".",".","20.0",".",".","."
"Undergraduates","8","4.000","87.5",".",".","",".","",".","",".","",".",".","",".",".","",".",".","12.5",".",".","."
"Graduate","105","3.896","61.0","3.8","2.9","",".","",".","",".","",".","21.0","",".",".","",".","7.6","3.8",".",".","."
"Prof Yr 1","9","3.909","88.9",".","11.1","",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","5","4.000","60.0",".",".","",".","",".","",".","",".","40.0","",".",".","",".",".",".",".",".","."
"Prof Yr 4","7","4.000","57.1",".",".","",".","",".","",".","",".","42.9","",".",".","",".",".",".",".",".","."
"Professionals","21","3.944","71.4",".","4.8","",".","",".","",".","",".","23.8","",".",".","",".",".",".",".",".","."
