"CONSUMER SCIENCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","","","",""
"Retail Leadership Symposium","250","001","","91","3.583","78.0","3.3","5.5","2.2","3.3","2.2","4.4","1.1",".",".",".",".",".",".",".","."
"","275","001","","69","3.132","20.3","27.5","26.1","13.0","8.7","2.9",".","1.4",".",".",".",".",".",".",".","."
"","275","002","","85","3.506","43.5","32.9","11.8","4.7","7.1",".",".",".",".",".",".",".",".",".",".","."
"Consumer Finance","","Course Total","","154","3.340","33.1","30.5","18.2","8.4","7.8","1.3",".","0.6",".",".",".",".",".",".",".","."
"Mediatn:Serving Consumr Int","350","001","","77","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comp Applicatns-Retailing","370","001","","19","3.368","42.1","31.6",".","10.5","15.8",".",".",".",".",".",".",".",".",".",".","."
"Hist-Consumr Movemnts in US","470","001","","46","3.152","13.0","28.3","39.1","15.2","4.3",".",".",".",".",".",".",".",".",".",".","."
"Family Economics","475","001","","41","3.256","24.4","36.6","17.1","9.8","12.2",".",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477","001","","59","3.475","42.4","22.0","23.7","11.9",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Information","478","001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","001","","29","3.328","27.6","34.5","20.7","10.3","6.9",".",".",".",".",".",".",".",".",".",".","."
"","501","008","","19","3.868","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","075","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","","53","3.470","52.8","24.5","13.2","5.7","3.8",".",".",".",".",".",".",".",".",".",".","."
"Prep for Retailng Internshp","503","001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","532","001","","30","3.300","20.0","40.0","23.3","13.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"Retail Promotion","560","001","","12","3.250","8.3","50.0","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"International Retailing","562","001","","18","3.235","22.2","33.3","22.2","11.1",".","5.6",".","5.6",".",".",".",".",".",".",".","."
"Retail Financial Analysis","564","001","","47","3.728","59.6","23.4","14.9",".",".",".",".","2.1",".",".",".",".",".",".",".","."
"","565","001","","18","3.583","38.9","38.9","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","565","002","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","565","003","","15","3.767","73.3","20.0",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Consumer Science","","Course Total","","44","3.727","63.6","22.7","11.4",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601","001","","22","3.946","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Retailing","602","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Retailing Internship","603","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","657","001","","31","3.129","3.2","35.5","45.2","16.1",".",".",".",".",".",".",".",".",".",".",".","."
"","657","002","","34","3.397","23.5","47.1","17.6","8.8","2.9",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","","Course Total","","65","3.269","13.8","41.5","30.8","12.3","1.5",".",".",".",".",".",".",".",".",".",".","."
"Family Financial Counseling","675","001","","33","3.303","21.2","36.4","27.3","12.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"Economc Organizatn-Househld","748","001","","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","901","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","901","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Spec Topics-Consumer Sci","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","7","",".",".",".",".",".",".",".","42.9","28.6",".",".",".","28.6",".",".","."
"Independent Study","999","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
