"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"Introduction to Film","350","001","158","3.212","19.0","35.4","24.7","10.1","8.9",".","0.6","1.3",".",".",".",".",".",".",".","."
"Introduction to Television","351","001","175","3.486","37.1","34.3","22.9","3.4","1.1","0.6","0.6",".",".",".",".",".",".",".",".","."
"Film Styles and Genres","354","001","90","3.172","12.2","45.6","22.2","13.3","4.4",".","2.2",".",".",".",".",".",".",".",".","."
"Intro to Media Production","355","001","123","3.321","27.6","39.0","20.3","4.1","6.5","0.8","1.6",".",".",".",".",".",".",".",".","."
"History of Animated Film","357","001","20","3.600","65.0","5.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"History of Documentary Film","358","001","23","3.286","26.1","21.7","30.4","4.3","8.7",".",".","8.7",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368","001","120","3.350","30.0","30.8","20.8","15.8","2.5",".",".",".",".",".",".",".",".",".",".","."
"Rhetoric-Campaign&Revolutn","372","001","289","3.174","20.8","27.0","29.4","10.4","11.8",".",".","0.7",".",".",".",".",".",".",".","."
"The Rhetoric of Religion","374","001","93","3.210","18.3","33.3","33.3","8.6","4.3","1.1","1.1",".",".",".",".",".",".",".",".","."
"History of Broadcasting","450","001","51","3.265","15.7","43.1","29.4","9.8",".",".","2.0",".",".",".",".",".",".",".",".","."
"Television Criticism","451","001","40","3.588","45.0","37.5","15.0",".",".","2.5",".",".",".",".",".",".",".",".",".","."
"Critical Film Analysis","454","001","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Editing & Post-prod:Video&Film","465","001","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Writing for TV & Film","466","001","15","3.467","33.3","33.3","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Cinematography & Sound Rcrdng","467","001","14","3.607","35.7","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Political Discourse","470","001","103","3.564","49.5","31.1","12.6","1.9",".",".","2.9","1.0",".",".",".",".","1.0",".",".","."
"Rhetoric and Technology","472","001","21","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"American Cinema Since 1970","552","001","90","2.928","10.0","25.6","30.0","22.2","8.9",".","3.3",".",".",".",".",".",".",".",".","."
"Communictn&Interethnc Behav","565","001","46","3.402","26.1","41.3","26.1","4.3",".","2.2",".",".",".",".",".",".",".",".",".","."
"Communicatn in Complex Orgs","575","001","25","3.480","36.0","40.0","12.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","609","001","15","3.267","33.3","33.3","6.7","6.7","20.0",".",".",".",".",".",".",".",".",".",".","."
"","609","002","7","3.357","28.6","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Production","","Course Total","22","3.295","31.8","31.8","13.6","9.1","13.6",".",".",".",".",".",".",".",".",".",".","."
"","610","001","14","3.464","28.6","35.7","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","610","002","16","3.656","56.3","31.3","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Topics-Rhetoric&Pub Address","","Course Total","30","3.567","43.3","33.3","20.0",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"","613","002","12","3.864","66.7","25.0",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","613","003","23","3.239","17.4","21.7","52.2","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"Topics; Broadcasting & Film","","Course Total","35","3.441","34.3","22.9","34.3","5.7",".",".",".",".",".",".",".",".","2.9",".",".","."
"","614","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Exper in Communicatn","","Course Total","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","615","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","615","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 182 of 413",""
