"Colloquium in Env Tox","606
001","","5","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Toxicology II","626
001","","3","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Eukaryotic Microb Pathogenesis","773
001","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"AHABS
952","Dept. Total","","9","3.353","33.3","22.2","33.3","",".","11.1","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"952
AHABS","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","2","3.500","50.0",".","50.0","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","5","3.556","40.0","40.0",".","",".","20.0","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","7","3.545","42.9","28.6","14.3","",".","14.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","2","3.000",".",".","100.0","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","9","3.353","33.3","22.2","33.3","",".","11.1","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
