"PORTUGUESE (SPANISH & POR Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","",""
"","102
001","6","2.833","33.3",".","33.3",".","16.7","16.7",".",".",".",".",".",".",".",".",".","."
"","102
002","13","2.731","30.8","7.7","23.1",".","23.1","7.7","7.7",".",".",".",".",".",".",".",".","."
"","102
003","18","3.500","55.6","11.1","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","102
004","15","2.767","33.3","6.7","20.0",".","20.0","20.0",".",".",".",".",".",".",".",".",".","."
"2nd Semester Portuguese","Course Total","52","3.019","40.4","7.7","23.1",".","17.3","9.6","1.9",".",".",".",".",".",".",".",".","."
"4th Semester Portuguese","202
001","13","3.417","30.8","30.8","15.4","15.4",".",".",".","7.7",".",".",".",".",".",".",".","."
"3rd Yr Conversatn & Compositn","226
001","15","3.567","26.7","60.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intensive Portuguese","301
001","19","3.694","63.2","15.8","10.5",".","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"4th Yr Compositn & Conversatn","312
001","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Brazilian Civilization","362
001","12","3.758","50.0","16.7","8.3",".",".",".",".","16.7",".",".",".",".","8.3",".",".","."
"Survey-Brazil Lit pre 1890","412
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Romance Languages","429
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Luso-Braziln Lit","640
001","10","3.741","40.0","40.0",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Smr: Portuguese Literature","772
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Latin American Area","982
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","4","***","","","","","","","","","","","","","","","",""
"PORTUG
782","Dept. Total","153","3.404","45.1","20.9","14.4","1.3","6.5","3.3","0.7","5.9",".",".",".","0.7","1.3",".",".","."
