"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"","100
001","","15","3.667","60.0","13.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","","18","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","","18","3.528","61.1","5.6","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","100
004","","13","3.769","69.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
005","","16","3.719","62.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","80","3.688","62.5","17.5","17.5",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"Sci&Technology Newswriting","111
001","","19","2.947","31.6","10.5","26.3",".","26.3",".","5.3",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","212
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
012","","8","3.955","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","14","3.971","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Comm Tech&Soc Effct","340
001","","19","3.605","63.2","26.3","5.3",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Visualizing Sci & Technology","350
001","","19","3.763","68.4","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Information Radio","360
001","","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","","13","3.385","38.5","23.1","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","375
002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
005","","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","375
006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
007","","13","3.667","61.5","7.7","15.4","7.7",".",".",".",".",".",".",".",".","7.7",".",".","."
"Special Topics","Course Total","","54","3.719","68.5","11.1","11.1","5.6","1.9",".",".",".",".",".",".",".","1.9",".",".","."
"","399
012","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
034","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","14","3.917","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Marktng Communicatn","435
001","","20","3.750","65.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Native Amer Envir Iss & Media","444
001","","20","3.800","70.0","25.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Visual Comp & Digital Editing","450
001","","16","3.750","75.0","6.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","515
001","","18","3.333","16.7","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","530
001","","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Web Design for the Sciences","532
001","","17","3.735","52.9","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Youth","616
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth Communication-Info Age","617
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Serv Learning: Adv Video Prod","620
001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","699
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","699
038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Colloq in Life Sci Communicatn","700
001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Sci & Envir Communication","860
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","","Page 4 of 413"
