"","999
065","5","***","","","","","","","","","","","",".",".",".","",".",".",".","."
"","999
078","1","***","","","","","","","","","","","",".",".",".","",".",".",".","."
"","999
096","2","***","","","","","","","","","","","",".",".",".","",".",".",".","."
"Advanced Independent Study","Course Total","24","4.000","45.8",".",".",".",".","",".","",".","50.0","4.2",".",".","",".",".",".",".","."
"NURSING
692","Dept. Total","1816","3.851","68.0","13.9","3.2","0.7","0.2","",".","",".","4.6","0.1","9.0","0.1","",".","0.1",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","20","3.875","90.0","5.0",".",".","5.0","",".","",".",".",".",".",".","",".",".",".",".","."
"Sophomore","","60","3.992","98.3","1.7",".",".",".","",".","",".",".",".",".",".","",".",".",".",".","."
"Junior","","193","3.804","62.2","14.5","2.6","2.1",".","",".","",".",".",".","18.7",".","",".",".",".",".","."
"Senior","","1120","3.847","68.7","15.2","3.8","0.7","0.2","",".","",".",".",".","11.3","0.1","",".",".",".",".","."
"Undergraduates","","1393","3.847","69.3","14.4","3.4","0.9","0.2","",".","",".",".",".","11.7","0.1","",".",".",".",".","."
"Special","","9","3.778","55.6","22.2","11.1",".",".","",".","",".",".",".","11.1",".","",".",".",".",".","."
"Graduate","","388","3.881","63.9","10.8","2.6","0.3",".","",".","",".","21.4","0.3",".",".","",".","0.5",".","0.3","."
"Prof Yr 4","","26","3.733","57.7","34.6",".",".","3.8","",".","",".",".",".",".",".","",".",".",".","3.8","."
"Professionals","","26","3.733","57.7","34.6",".",".","3.8","",".","",".",".",".",".",".","",".",".",".","3.8","."
"","Dept. Total","1816","3.851","68.0","13.9","3.2","0.7","0.2","",".","",".","4.6","0.1","9.0","0.1","",".","0.1",".","0.1","."
