"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"250
Process Synthesis","001","","56","2.813","16.1","8.9","39.3","7.1","23.2","3.6","1.8",".",".",".",".",".",".",".",".","."
"255
Intro to Chem Process Modeling","001","","55","3.064","29.1","14.5","23.6","12.7","16.4","3.6",".",".",".",".",".",".",".",".",".","."
"310
Chem Process Thermodynamics","001","","75","2.860","20.0","20.0","20.0","18.7","13.3","2.7","5.3",".",".",".",".",".",".",".",".","."
"311
Thermodynamics of Mixtures","001","","44","2.648","4.5","13.6","36.4","15.9","22.7","4.5","2.3",".",".",".",".",".",".",".",".","."
"320
Intro Transport Phenomena","001","","47","3.032","31.9","10.6","23.4","12.8","17.0","2.1","2.1",".",".",".",".",".",".",".",".","."
"324","001","","12","3.333","16.7","41.7","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"324","002","","12","3.208","25.0","16.7","41.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"324","003","","11","3.227","18.2","27.3","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"324","004","","12","3.458","16.7","58.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","Course Total","","47","3.309","19.1","36.2","34.0","8.5","2.1",".",".",".",".",".",".",".",".",".",".","."
"326
Momentum&Heat Transfer Oper","001","","67","2.963","16.4","26.9","22.4","13.4","16.4","3.0","1.5",".",".",".",".",".",".",".",".","."
"425
Undergrad Rheology Seminar","001","","13","3.731","61.5","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"426
Mass Transfer Operations","001","","55","2.809","16.4","14.5","25.5","20.0","16.4","5.5","1.8",".",".",".",".",".",".",".",".","."
"430
Chem Kinetcs & Reactor Dsgn","001","","54","3.037","14.8","24.1","35.2","9.3","14.8","1.9",".",".",".",".",".",".",".",".",".","."
"450
Process Design","001","","28","3.056","21.4","10.7","39.3","14.3","7.1","3.6",".",".",".",".",".",".",".","3.6",".","."
"470
Process Dynamics & Control","001","","43","3.000","11.6","23.3","27.9","27.9","9.3",".",".",".",".",".",".",".",".",".",".","."
"475
Instrmntl Anal-Chem Engr","001","","18","3.559","33.3","38.9","22.2",".",".",".",".",".",".",".",".",".",".","5.6",".","."
"489","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","3","***","","","","","","","","","","","","","","","",""
"535
Heterogeneous Catalysis","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"540
Polymer Sci & Technology","001","","38","2.676","15.8","7.9","21.1","18.4","26.3","7.9",".",".",".",".",".",".",".","2.6",".","."
"555
Seminar-Chem Engr Connections","001","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"562","001","","20","3.553","25.0","55.0","15.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"562","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"562","003","","24","3.646","50.0","29.2","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","Course Total","","45","3.614","40.0","40.0","17.8",".",".",".",".","2.2",".",".",".",".",".",".",".","."
"599","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"599","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"599","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"599","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"599","021","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"599","023","","17","3.559","35.3","41.2","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
