"COMPARATIVE BIOSCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","","",""
"404
Vertebrate Physiology","001","","10","2.750","20.0","20.0","30.0","10.0",".","10.0","10.0",".",".",".",".",".",".",".",".","."
"502
Molec & Metabolic Basis of Med","001","","73","3.322","37.0","16.4","31.5","6.8","6.8","1.4",".",".",".",".",".",".",".",".",".","."
"505
Vet Neuroanatomy&Neurophys","001","","73","3.466","50.7","13.7","19.2","11.0","5.5",".",".",".",".",".",".",".",".",".",".","."
"506
Veterinary Physiology B","001","","73","3.760","63.0","26.0","11.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Anat-Lrge Domestic Animals","001","","73","3.473","39.7","26.0","24.7","9.6",".",".",".",".",".",".",".",".",".",".",".","."
"552
Fund of Vet Pharmacology","001","","73","3.137","11.0","34.2","31.5","17.8","5.5",".",".",".",".",".",".",".",".",".",".","."
"555
Veterinary Toxicology","001","","78","3.160","23.1","21.8","32.1","12.8","9.0","1.3",".",".",".",".",".",".",".",".",".","."
"556
Basic & Clin Vet Therapeutics","001","","78","3.468","30.8","35.9","30.8","1.3","1.3",".",".",".",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"775","001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
