"ENGR MECHANICS & ASTRONA","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","201","001","166","2.572","4.8","11.4","26.5","34.3","13.9","4.8","4.2",".",".",".",".",".",".",".",".","."
"","201","002","137","2.573","8.0","8.8","15.3","43.1","18.2","4.4","2.2",".",".",".",".",".",".",".",".","."
"Statics","","Course Total","303","2.573","6.3","10.2","21.5","38.3","15.8","4.6","3.3",".",".",".",".",".",".",".",".","."
"Dynamics","202","001","112","2.411","5.4","11.6","18.8","25.9","25.0","8.0","5.4",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","303","001","89","2.719","11.2","20.2","30.3","11.2","15.7","5.6","5.6",".",".",".",".",".",".",".",".","."
"","307","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307","002","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307","003","9","3.167","22.2","11.1","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","307","004","8","3.313","25.0","25.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","307","006","10","3.050","30.0","10.0","30.0",".","30.0",".",".",".",".",".",".",".",".",".",".","."
"","307","007","11","3.227","9.1","36.4","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","307","008","13","3.038","15.4","23.1","38.5",".","23.1",".",".",".",".",".",".",".",".",".",".","."
"","307","009","7","3.357","28.6","14.3","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307","010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","307","012","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307","013","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307","014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","","Course Total","87","3.155","24.1","20.7","36.8","5.7","10.3","1.1","1.1",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Finite Elements","405","001","21","3.714","81.0","9.5","4.8",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Problem Solving-Engrs","471","001","30","3.533","66.7","10.0","6.7","10.0","3.3",".","3.3",".",".",".",".",".",".",".",".","."
"Intro-Sci Comput for Engr Phys","476","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fracture Mechanics","519","002","13","3.083","23.1","15.4","30.8",".","23.1",".",".","7.7",".",".",".",".",".",".",".","."
"Aerodynamics Lab","522","001","17","3.500","35.3","29.4","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Flight Dynamics and Control","523","001","17","3.059","11.8","41.2","17.6","17.6","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"Exp Vib & Dynamic Sys Anal","540","001","12","3.364","58.3","16.7",".",".","8.3",".","8.3",".",".",".",".",".",".",".",".","8.3"
"Mechanical Vibrations","545","001","35","3.314","40.0","17.1","25.7","5.7","8.6","2.9",".",".",".",".",".",".",".",".",".","."
"Engineering Analysis II","548","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Astrodynamics","550","001","34","3.426","26.5","41.2","23.5","8.8",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Design Project","569","001","29","3.741","79.3","3.4","10.3",".","6.9",".",".",".",".",".",".",".",".",".",".","."
"Experimental Mechanics","570","001","10","3.944","80.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","10.0"
"Independent Study","599","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Mech Testing-Materials","611","001","15","3.857","73.3","13.3","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Satellite Dynamics","642","001","19","2.944","21.1","10.5","26.3","21.1","10.5","5.3",".","5.3",".",".",".",".",".",".",".","."
"Master's Research","690","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Topics-Finite Elements","705","001","15","3.625","46.7","6.7","26.7",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Master's Research and Thesis","790","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890","007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","890","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
