"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Forum on the Environment","101","001","125","3.870","90.4","1.6","2.4",".","3.2",".","0.8","0.8",".",".",".",".","0.8",".",".","."
"Environmental Geology","106","001","54","2.694","7.4","11.1","37.0","9.3","33.3",".","1.9",".",".",".",".",".",".",".",".","."
"Envir St-Social Perspective","112","001","231","3.732","71.4","17.7","6.1","0.4","0.4","0.4","2.2","1.3",".",".",".",".",".",".",".","."
"","120","001","48","3.167","20.8","33.3","20.8","16.7","6.3",".","2.1",".",".",".",".",".",".",".",".","."
"","120","002","73","2.979","21.9","20.5","13.7","24.7","16.4","2.7",".",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","121","3.054","21.5","25.6","16.5","21.5","12.4","1.7","0.8",".",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126","001","43","3.929","88.4","4.7","4.7",".",".",".",".",".",".",".",".",".",".","2.3",".","."
"Physical Systems of Envr","127","001","42","2.768","11.9","7.1","31.0","28.6","16.7",".","2.4",".",".",".",".",".",".",".",".","2.4"
"Resources and People","139","001","48","3.635","47.9","37.5","8.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","10","3.150","10.0","40.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","201","001","16","3.563","50.0","31.3","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","23","2.891","30.4","13.0","13.0","17.4","13.0","13.0",".",".",".",".",".",".",".",".",".","."
"Env Lit:Speaking for Nature","307","001","20","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","339","001","68","3.191","25.0","14.7","36.8","20.6","2.9",".",".",".",".",".",".",".",".",".",".","."
"","339","002","59","3.172","22.0","27.1","23.7","13.6","11.9",".",".","1.7",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","127","3.183","23.6","20.5","30.7","17.3","7.1",".",".","0.8",".",".",".",".",".",".",".","."
"Environmental Economics","343","001","17","3.228","29.4","23.5","17.6","17.6","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"History of Ecology","353","001","22","3.325","22.7","45.5","13.6","4.5",".",".","4.5","9.1",".",".",".",".",".",".",".","."
"Wetlands Ecology","361","001","37","3.441","24.3","35.1","29.7","2.7",".",".",".","2.7",".",".",".",".","5.4",".",".","."
"Renewable Energy Systems","367","001","27","3.500","66.7","11.1","3.7",".","3.7",".","7.4","3.7","3.7",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","9","3.111","33.3",".","22.2","44.4",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Perspectives-Envir Studies","402","004","22","3.727","59.1","36.4",".",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"People, Wildlife & Landscapes","434","001","8","3.125",".","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Ethics","441","001","46","3.125","21.7","21.7","34.8","10.9","2.2",".","4.3","4.3",".",".",".",".",".",".",".","."
"Envir Impact-Livestock Operatn","468","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Environmental Health","471","001","73","3.465","34.2","32.9","27.4",".","1.4",".","1.4","2.7",".",".",".",".",".",".",".","."
"Sci Bckgrnd-Globl Envr Prob","472","001","18","3.111","16.7","16.7","44.4","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes","510","001","14","2.643","14.3","7.1","28.6","7.1","35.7","7.1",".",".",".",".",".",".",".",".",".","."
"","511","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","511","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ecology of Fishes Lab","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Atmospherc Dispersn&Pollutn","535","001","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recent Marine Sediments","551","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Remote Sensing Digitl Image","556","001","14","3.679","71.4","7.1","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment-Environ Impact","575","001","32","3.177","12.5","34.4","25.0","25.0",".",".",".","3.1",".",".",".",".",".",".",".","."
"","600","001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","002","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","003","15","3.567","66.7","20.0",".",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"Envir Studies Cert Seminar","","Course Total","56","3.875","89.3","7.1",".",".","1.8","1.8",".",".",".",".",".",".",".",".",".","."
"Sys Thinking & Sustainable Bus","601","001","6","3.500","50.0","33.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Conservation Biology","651","001","10","3.200","30.0","10.0","40.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
