"L&S","","","","","","","","","","","","","","","","","","","","",""
"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","","",""
"PHYSICS
754","Dept. Total","3092","3.087","23.7","21.8","21.5","16.3","10.1","1.2","0.5","3.9","",".","0.1","",".","0.5","0.1","0.0","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","210","2.988","27.1","18.1","15.7","21.9","13.8","1.4","1.4",".","",".",".","",".",".","0.5",".",".","."
"Sophomore","","687","3.019","18.5","25.0","22.3","21.8","9.8","1.6","0.9",".","",".","0.1","",".",".",".",".",".","."
"Junior","","980","3.016","19.7","20.9","26.4","18.1","13.0","1.3","0.5",".","",".",".","",".",".",".",".",".","0.1"
"Senior","","802","3.137","26.7","23.7","21.3","15.2","10.3","1.2","0.1","0.4","",".","0.4","",".",".","0.2",".","0.4","."
"Undergraduates","","2679","3.049","22.1","22.6","23.0","18.5","11.4","1.4","0.6","0.1","",".","0.1","",".",".","0.1",".","0.1","0.0"
"Special","","43","3.067","18.6","9.3","25.6","16.3","9.3",".",".","16.3","",".",".","",".",".",".","2.3","2.3","."
"Graduate","","371","3.653","36.7","17.3","10.5","0.8","0.3",".","0.3","29.9","",".",".","",".","4.0","0.3",".",".","."
"","Dept. Total","3093","3.087","23.8","21.8","21.5","16.3","10.1","1.2","0.5","3.9","",".","0.1","",".","0.5","0.1","0.0","0.1","0.0"
