"L&S","","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"MATH
600","Dept. Total","5059","2.790","27.2","12.1","21.1","9.3","15.7","8.0","4.5","0.8","0.0","1.0","",".","0.0","0.1","0.1","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1128","2.608","21.4","10.4","19.2","10.4","18.5","11.8","5.9",".",".","2.1","",".",".",".","0.3",".","."
"Sophomore","","1723","2.749","22.8","12.4","23.5","10.1","16.8","8.5","4.1","0.1",".","1.3","",".",".","0.2","0.1","0.1","0.1"
"Junior","","1099","2.773","23.7","14.2","24.0","8.9","16.7","6.9","5.0","0.1",".","0.2","",".",".","0.1",".",".","0.1"
"Senior","","718","2.866","27.9","13.2","22.0","10.4","14.3","6.4","4.6","0.3",".",".","",".",".","0.4","0.1","0.3","."
"Undergraduates","","4668","2.730","23.5","12.4","22.4","9.9","16.8","8.6","4.8","0.1",".","1.0","",".",".","0.1","0.1","0.1","0.0"
"Special","","50","3.104","38.0","14.0","18.0","4.0","10.0","6.0","4.0","2.0",".",".","",".",".",".","2.0","2.0","."
"Graduate","","340","3.880","76.5","6.8","4.1","0.6","1.2",".",".","10.0","0.6",".","",".","0.3",".",".",".","."
"Prof Yr 4","","1","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"Professionals","","1","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"","Dept. Total","5059","2.790","27.2","12.1","21.1","9.3","15.7","8.0","4.5","0.8","0.0","1.0","",".","0.0","0.1","0.1","0.1","0.0"
