"","990
021","2","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
022","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
023","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","29","",".",".",".",".",".",".",".","82.8","",".",".",".","17.2","",".",".",".","."
"AGRONOMY
132","Dept. Total","258","3.404","43.4","16.3","15.5","4.3","6.6","1.2","0.4","10.5","",".",".",".","1.9","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"132
AGRONOMY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","2.750",".","50.0",".",".","50.0",".",".",".","",".",".",".",".","",".",".",".","."
"Sophomore","","8","3.591","37.5","50.0","12.5",".",".",".",".",".","",".",".",".",".","",".",".",".","."
"Junior","","50","3.440","56.0","8.0","24.0","2.0","8.0","2.0",".",".","",".",".",".",".","",".",".",".","."
"Senior","","111","3.234","33.3","26.1","20.7","8.1","9.0","1.8","0.9",".","",".",".",".",".","",".",".",".","."
"Undergraduates","","171","3.305","39.8","22.2","21.1","5.8","8.8","1.8","0.6",".","",".",".",".",".","",".",".",".","."
"Special","","6","4.000","83.3",".",".",".",".",".",".","16.7","",".",".",".",".","",".",".",".","."
"Graduate","","81","3.757","48.1","4.9","4.9","1.2","2.5",".",".","32.1","",".",".",".","6.2","",".",".",".","."
"","Dept. Total","258","3.404","43.4","16.3","15.5","4.3","6.6","1.2","0.4","10.5","",".",".",".","1.9","",".",".",".","."
