"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"522
LCA LANG","","","","","","","","","","","","","","","","","","","","","","",""
"Advanced Readings in Hindi Lit","654
001","4","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Advanced Readings in Tibetan","677
001","2","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"LCA LANG
522","Dept. Total","216","3.789","74.1","14.4","6.0","1.9","",".","0.5","0.5","1.9","",".",".","",".","",".","0.9",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"522
LCA LANG","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","30","3.617","70.0","10.0","13.3","3.3","",".",".","3.3",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","30","3.839","76.7","16.7","6.7",".","",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","42","3.787","71.4","14.3","9.5","2.4","",".",".",".",".","",".",".","",".","",".","2.4",".",".","."
"Senior","","65","3.748","69.2","18.5","3.1","3.1","",".","1.5",".","3.1","",".",".","",".","",".","1.5",".",".","."
"Undergraduates","","167","3.751","71.3","15.6","7.2","2.4","",".","0.6","0.6","1.2","",".",".","",".","",".","1.2",".",".","."
"Special","","4","4.000","75.0",".",".",".","",".",".",".","25.0","",".",".","",".","",".",".",".",".","."
"Graduate","","45","3.922","84.4","11.1","2.2",".","",".",".",".","2.2","",".",".","",".","",".",".",".",".","."
"","Dept. Total","216","3.789","74.1","14.4","6.0","1.9","",".","0.5","0.5","1.9","",".",".","",".","",".","0.9",".",".","."
