"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"","431","001","","51","2.696","21.6","2.0","37.3","7.8","17.6","9.8","3.9",".",".",".",".",".",".",".",".","."
"","431","002","","31","2.833","19.4","12.9","12.9","25.8","22.6","3.2",".",".",".",".",".",".","3.2",".",".","."
"","431","003","","26","2.769","30.8","3.8","30.8","3.8","15.4","7.7","7.7",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","","Course Total","","108","2.752","23.1","5.6","28.7","12.0","18.5","7.4","3.7",".",".",".",".",".","0.9",".",".","."
"Intro to Modern Algebra","441","001","","23","2.891","26.1","21.7","13.0","8.7","21.7","4.3","4.3",".",".",".",".",".",".",".",".","."
"College Geometry I","461","001","","34","3.294","52.9","8.8","14.7","2.9","14.7","5.9",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475","001","","20","2.900","30.0","10.0","20.0","10.0","25.0",".","5.0",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","490","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","521","001","","21","3.048","9.5","47.6","14.3","9.5","14.3","4.8",".",".",".",".",".",".",".",".",".","."
"","521","002","","31","2.952","29.0",".","32.3","16.1","19.4","3.2",".",".",".",".",".",".",".",".",".","."
"","521","003","","19","3.000","21.1","10.5","31.6","21.1","15.8",".",".",".",".",".",".",".",".",".",".","."
"Advanced Calculus","","Course Total","","71","2.993","21.1","16.9","26.8","15.5","16.9","2.8",".",".",".",".",".",".",".",".",".","."
"Advanced Calculus","522","001","","13","2.833","23.1",".","30.8","15.4","15.4","7.7",".",".",".",".",".",".",".","7.7",".","."
"Linear Programming Methods","525","001","","15","2.667","6.7","26.7","20.0","26.7","6.7","6.7","6.7",".",".",".",".",".",".",".",".","."
"","541","001","","26","2.885","26.9",".","46.2",".","15.4","11.5",".",".",".",".",".",".",".",".",".","."
"","541","002","","24","3.479","54.2","12.5","12.5","16.7","4.2",".",".",".",".",".",".",".",".",".",".","."
"Modern Algebra","","Course Total","","50","3.170","40.0","6.0","30.0","8.0","10.0","6.0",".",".",".",".",".",".",".",".",".","."
"Modern Algebra","542","001","","12","3.500","41.7","16.7","25.0","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"Elementary Topology","551","001","","18","3.118","27.8","16.7","33.3","5.6","5.6",".","5.6",".",".",".",".",".",".",".","5.6","."
"Elem Geom & Alg Topology","552","001","","7","3.071","14.3","28.6","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".","."
"Differential Geometry","561","001","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Measure & Integration","629","001","","12","3.136","33.3","16.7","25.0","8.3",".",".","8.3",".",".",".",".",".",".",".","8.3","."
"Intro-Stochastic Processes","632","001","","25","2.875","12.0","28.0","24.0","4.0","24.0",".","4.0","4.0",".",".",".",".",".",".",".","."
"Queuing Thry & Stochas Model","633","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Brownian Motn&Stoch Calc","635","001","","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","123","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","106","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","10","3.944","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods of Applied Math-2","704","001","","12","3.583","58.3",".","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods of Computatnl Math II","715","001","","15","3.643","66.7","6.7","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".","6.7","."
"Complex Analysis","722","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Secnd Crse in Real Analysis","725","001","","13","3.538","53.8","15.4","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Abstract Algebra","742","001","","15","3.633","80.0","6.7","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Theory of Groups","745","001","","21","3.825","76.2","14.3",".",".","4.8",".",".",".",".",".",".",".","4.8",".",".","."
"Homological Algebra","750","001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Topology II","752","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
