"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"331
Transport Phenom-Materials","001","","19","3.184","26.3","15.8","36.8","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"333
Microprocessing-Materials","001","","16","3.625","56.3","18.8","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"350
Intro to Materials Science","001","","133","3.308","45.1","12.8","21.8","6.8","9.8","3.8",".",".",".",".",".",".",".",".",".","."
"352
Transformation of Solids","001","","28","2.833","10.7","21.4","35.7","10.7","7.1","7.1","3.6",".",".",".",".",".",".",".",".","3.6"
"361
Materials Laboratory II","001","","20","3.211","15.0","25.0","40.0","15.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"379
Materials Sys&Design Proj I","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"390
Materials Sys&Desgn Proj II","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"401
Special Topics in Mat Sci&Engr","001","","18","3.481","38.9","27.8","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"421
Polymeric Materials","001","","27","3.556","44.4","29.6","18.5","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"434
Intro Thin-Film Deposition","001","","16","3.531","43.8","37.5","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"435
Joining of Materials","001","","17","3.382","35.3","29.4","23.5",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"474
Rock Mechanics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"530
Thermodynamics of Solids","001","","11","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"748
Structural Anal of Matrial","001","","21","3.405","28.6","33.3","28.6","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"758
Trans Electron Microscopy Lab","001","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"760
Mol Dynamics&Monte Carlo Sims","001","","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"790","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","20","",".",".",".",".",".",".",".","60.0","5.0",".",".","30.0",".","5.0",".","."
"803","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"803","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"803","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"803","008","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"803","013","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803","014","","12","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"803","015","","13","3.459","61.5","15.4","15.4",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Spec Topics-Materials Sci","Course Total","","63","3.705","66.7","9.5","7.9",".",".",".","1.6","9.5",".",".",".","4.8",".",".",".","."
