"FOOD SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","",""
"201
Discovering Food Science","001","","35","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"299","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"301
Intro to Sci & Technol of Food","001","","59","3.085","20.3","30.5","22.0","10.2","11.9","5.1",".",".",".",".",".",".",".",".",".","."
"305
Intro-Meat Sci & Technology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"321
Food Laws and Regulations","001","","32","3.766","71.9","18.8","3.1","3.1","3.1",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","13","3.500","30.8","46.2","7.7",".","7.7",".",".",".",".",".",".",".",".","7.7",".","."
"399
Coord Intrnshp/Cooprtv Educ","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"412
Food Analysis","001","","26","3.269","26.9","19.2","42.3","3.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"432
Principles-Food Preservation","001","","26","3.096","11.5","11.5","65.4","7.7","3.8",".",".",".",".",".",".",".",".",".",".","."
"438","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"438","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Service Operations Lab","Course Total","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"441
Rheology of Foods&Biomaterials","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"511
Chem & Technol-Dairy Products","001","","18","3.000","5.6","22.2","66.7",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"537
Org&Mgmt-Nutritn&Food Serv","001","","61","3.672","47.5","41.0","9.8","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"542
Food Engineering Operations","001","","21","2.810","19.0","9.5","42.9",".","19.0","4.8","4.8",".",".",".",".",".",".",".",".","."
"600
Prof Practice in Food Sci","001","","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"610
Food Proteins","001","","11","3.222","9.1","27.3","36.4","9.1",".",".",".","18.2",".",".",".",".",".",".",".","."
"611
Chem & Technol-Dairy Products","001","","18","3.583","44.4","27.8","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"650
Adv Microbiol/Food Pathgens","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Practicum-Food Sci Teaching","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Seminar Advanced","001","","36","4.000","16.7",".",".",".",".",".",".","80.6",".",".",".",".","2.8",".",".","."
"990","009","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","","Page 22 of 413"
