"NUCLEAR ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"231
Survey-Nuclear Engineering","001","","36","",".",".",".",".",".",".",".",".",".","94.4","5.6",".",".",".",".","."
"234
Prin&Prac-Nuclr Reactr Oper","001","","16","3.313","37.5","18.8","31.3","6.3",".","6.3",".",".",".",".",".",".",".",".",".","."
"405
Nuclear Reactor Theory","001","","22","3.095","18.2","40.9","13.6","4.5","9.1","9.1",".","4.5",".",".",".",".",".",".",".","."
"408
Ionizing Radiation","001","","36","3.443","38.9","33.3","16.7","2.8",".","5.6",".",".",".",".",".",".","2.8",".",".","."
"412
Nuclear Reactor Design","001","","20","3.299","15.0","35.0","45.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"427
Nuclear Instrumentation Lab","001","","17","3.615","35.3","23.5","17.6",".",".",".",".",".",".",".",".",".","23.5",".",".","."
"428
Nuclear Reactor Laboratory","001","","12","3.091","33.3","8.3","8.3","25.0","16.7",".",".",".",".",".",".",".","8.3",".",".","."
"476
Intro-Sci Comput for Engr Phys","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"506
Monte Carlo Radiatn Transport","001","","15","3.679","60.0","6.7","26.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"520
2-Phase Flow & Heat Transfr","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"525
Introduction to Plasmas","001","","13","3.292","23.1","23.1","30.8","15.4",".",".",".","7.7",".",".",".",".",".",".",".","."
"526
Lab Course in Plasmas","001","","17","3.700","41.2","41.2","5.9",".",".",".",".",".",".",".",".",".","11.8",".",".","."
"548
Engineering Analysis II","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"569
Health Physics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"571
Econ&Envr Aspect-Nuc Energy","001","","33","3.621","57.6","12.1","27.3","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"724
Waves&Instabilities-Plasmas","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","14","",".",".",".",".",".",".",".","64.3",".",".",".","35.7",".",".",".","."
"890","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","24","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"903
Spec Topics-Plasma Physics","001","","8","3.471","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 137 of 413",""
