"ENGR PROFESSIONAL DEVELO Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","","",""
"398
001
Tech Communications Intrshp","6","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"399
019
Junior Independent Study","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"450
001","4","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"450
003","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Course Total
Japanese for Politics&Govrnmnt","7","3.917","71.4","14.3",".",".",".",".",".",".","",".",".","",".","",".","14.3",".",".","."
"470
001
Engr Prob Solving with Comptrs","28","3.946","89.3","10.7",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"497
001
Technical Editing","11","3.727","45.5","54.5",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"499
033
Senior Independent Study","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"518
001
Quality Engr & Quality Mgmnt","28","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"519
001
Engr/Bus Data Communications","28","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"530
001
Adv Technical Japanese Smr","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"617
001
Communicating Technical Info","28","3.643","50.0","42.9",".",".","7.1",".",".",".",".","",".",".","",".","",".",".",".","."
"623
001
Engine Design II","21","3.476","38.1","38.1","19.0",".",".","4.8",".",".",".","",".",".","",".","",".",".",".","."
"624
001
Engine Performance&Combustion","13","3.385","30.8","23.1","38.5","7.7",".",".",".",".",".","",".",".","",".","",".",".",".","."
"627
001
Perspectives - Engine Modeling","11","3.909","90.9",".","9.1",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"630
003
Rsch-Japanese Technical Lit","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"690
001","12","4.000","91.7",".",".",".",".",".",".","8.3",".","",".",".","",".","",".",".",".","."
"690
002","13","3.923","84.6","15.4",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"690
003","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"690
004","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"690
005","4","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"690
006","13","3.423","38.5","15.4","38.5","7.7",".",".",".",".",".","",".",".","",".","",".",".",".","."
"690
011","6","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"690
012","5","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"690
016","12","3.346","83.3","8.3",".",".",".",".","8.3",".",".","",".",".","",".","",".",".",".","."
"690
017","11","3.545","72.7","9.1",".","9.1",".","9.1",".",".",".","",".",".","",".","",".",".",".","."
"018
690","7","3.500","57.1","14.3","14.3",".","14.3",".",".",".",".","",".",".","",".","",".",".",".","."
"Course Total
Special Topics in E P D","88","3.768","77.3","8.0","6.8","2.3","1.1","1.1","1.1","2.3","",".",".","",".","",".",".",".",".","."
"E P D
Dept. Total
348","890","3.555","49.8","23.4","13.6","3.6","1.9","1.1","0.7","5.3","",".",".","",".","",".","0.6","0.1",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","57","3.348","40.4","28.1","14.0","5.3","5.3","3.5","1.8","1.8","",".",".","",".","",".",".",".",".","."
"Sophomore","126","3.552","38.9","23.0","12.7","4.0","3.2",".",".","18.3","",".",".","",".","",".",".",".",".","."
"Junior","178","3.406","34.3","28.7","18.5","5.6","1.7","1.1","0.6","9.6","",".",".","",".","",".",".",".",".","."
"Senior","316","3.471","48.4","25.9","15.5","3.8","1.6","1.6","1.3","0.9","",".",".","",".","",".","0.9",".",".","."
"Undergraduates","677","3.455","42.2","26.3","15.7","4.4","2.2","1.3","0.9","6.5","",".",".","",".","",".","0.4",".",".","."
"Special","10","3.893","50.0","10.0",".",".",".",".",".","20.0","",".",".","",".","",".","10.0","10.0",".","."
"Graduate","203","3.802","74.9","14.3","7.4","1.0","1.0","0.5",".","0.5","",".",".","",".","",".","0.5",".",".","."
"Dept. Total","890","3.555","49.8","23.4","13.6","3.6","1.9","1.1","0.7","5.3","",".",".","",".","",".","0.6","0.1",".","."
